lat,lon,adpSum,onWeb,Flags,fulladdr,DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Population.Count,Date.of.Last.Use,Date.of.First.Use,FY18.Max.Population.Count,FY18.ADP,FY17.ADP,FY16.ADP,FY15.ADP,FY14.ADP,FY18.Facility.Bookins,FY17.Facility.Bookins,FY16.Facility.Bookins,FY15.Facility.Bookins,FY18.Non.Criminal,FY18.Criminal,FY17.Non.Criminal,FY17.Criminal,FY16.Non.Criminal,FY16.Criminal,FY15.Non.Criminal,FY15.Criminal,ICE.Threat.Level.1,ICE.Threat.Level.2,ICE.Threat.Level.3,No.ICE.Threat.Level,Facility.Operator,FY17.Calendar.Days.in.Use,FY17...of.Days.in.Use,FY17.Total.Mandays,FY17.Max.Pop.Count,geocodelat,geocodelon
32.575,-116.915,4120,32.575,,7488 CALZADA DE LA FUENTE SAN DIEGO CA 92154,CCASDCA,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),7488 CALZADA DE LA FUENTE,SAN DIEGO,SAN DIEGO,CA,92154,9,SND,SND,CDF,USMS CDF,Yes,925,04.11.2017,05.09.1998,995,958,1028,835,635,664,1838,9569,13530,9212,553,405,554,473,441,395,337,298,218,89,95,556,CCA,372,1.02,375058,1185,32.557027,-116.962479
30.3358,-95.4481,4080,30.3358,,500 HILBIG RD. CONROE TX 77301,MONTGTX,JOE CORLEY DETENTION FACILITY,500 HILBIG RD.,CONROE,MONTGOMERY,TX,77301,5,HOU,HOU,IGSA,IGSA,Yes,767,04.11.2017,16.08.2008,795,724,829,894,675,958,831,6824,7346,5315,289,434,485,344,577,317,207,467,151,113,181,279,GEO,372,1.02,302614,1014,30.336849,-95.449655
31.7939,-106.369,3751,31.7939,,8915 MONTANA AVE. EL PASO TX 79925,EPC,EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,EL PASO,TX,79925,5,ELP,EPC,SPC,SPC,Yes,770,04.11.2017,04.04.1984,848,742,767,819,706,717,1924,16669,16623,14772,454,288,461,306,422,397,379,327,60,44,182,456,GPS-ASSET,372,1.02,279980,917,31.793411,-106.369373
39.9865,-76.6608,3426,39.9865,,3400 CONCORD ROAD YORK PA 17402,YORCOPA,YORK COUNTY PRISON,3400 CONCORD ROAD,YORK,YORK,PA,17402,3,PHI,YRK,IGSA,IGSA,Yes,691,04.11.2017,27.01.1988,737,695,690,671,640,730,961,6105,4965,5293,332,363,348,342,291,380,251,389,208,58,96,333,COUNTY (SHERIFF),372,1.02,251892,854,39.987259,-76.663787
37.3239,-78.437,3091,37.3239,,508 WATERWORKS ROAD FARMVILLE VA 23901,FRMVLVA,IMMIGRATION CENTERS OF AMERICA FARMVILLE,508 WATERWORKS ROAD,FARMVILLE,PRINCE EDWARD,VA,23901,4,WAS,WAS,IGSA,DIGSA,Yes,690,04.11.2017,05.08.2010,765,719,713,579,549,531,1002,4357,3067,3379,241,478,203,509,71,508,91,458,215,126,128,250,ICA,372,1.02,260133,820,37.323304,-78.436819
26.2772,-80.151,2889,26.2772,,3900 NORTH POWERLINE ROAD POMPANO BEACH FL 33073,WCCPBFL,BROWARD TRANSITIONAL CENTER,3900 NORTH POWERLINE ROAD,POMPANO BEACH,BROWARD,FL,33073,11,MIA,KRO,CDF,CDF,Yes,645,04.11.2017,26.08.2002,672,640,628,618,405,598,1324,5141,3704,2456,551,89,544,84,562,56,355,50,1,18,69,552,GEO,361,0.99,229121,698,26.275748,-80.151987
40.7212,-74.1272,2842,40.7212,,354 DOREMUS AVENUE NEWARK NJ 7105,ESSEXNJ,ESSEX COUNTY CORRECTIONAL FACILITY,354 DOREMUS AVENUE,NEWARK,ESSEX,NJ,7105,3,NEW,NEW,IGSA,IGSA,Yes,701,04.11.2017,13.03.1990,715,691,652,539,410,550,720,2584,1872,1654,279,412,277,375,136,403,62,349,293,57,61,279,COUNTY (CORRECTIONS),372,1.02,238063,787,40.721185,-74.125449
31.5781,-83.253,2744,31.5781,,132 COTTON DRIVE OCILLA GA 31772,IRWINGA,IRWIN COUNTY DETENTION CENTER,132 COTTON DRIVE,OCILLA,IRWIN,GA,31772,11,ATL,ATL,USMS IGA,USMS IGA,Yes,674,04.11.2017,26.09.2010,813,721,714,546,345,418,1173,6788,6444,4800,301,420,288,426,122,424,94,251,194,85,130,311,LASALLE CORRECTIONS,372,1.02,260684,903,31.583812,-83.258963
32.6908,-115.398,2696,32.6908,,1572 GATEWAY CALEXICO CA 92231,IRADFCA,IMPERIAL REGIONAL DETENTION FACILITY,1572 GATEWAY,CALEXICO,IMPERIAL,CA,92231,9,SND,SND,IGSA,DIGSA,Yes,671,04.11.2017,22.09.2014,712,684,662,681,665,4,1052,5524,3788,2767,602,82,574,88,532,149,493,173,60,8,14,602,M&TC,372,1.02,241613,720,33.787447,-116.383098
40.7279,-74.1084,2694,40.7279,,30-35 HACKENSACK AVE. KEARNY NJ 7032,HUDSONJ,HUDSON COUNTY CORRECTIONAL CENTER,30-35 HACKENSACK AVE.,KEARNY,HUDSON,NJ,7032,3,NYC,VRK,IGSA,IGSA,Yes,610,04.11.2017,14.08.1995,669,636,638,491,455,474,715,2617,1762,1496,184,453,211,428,98,393,34,420,238,109,106,184,COUNTY (CORRECTIONS),372,1.02,233040,935,40.896618,-74.038454
33.0371,-111.371,2683,33.0371,,1100 BOWLING ROAD FLORENCE AZ 85132,CCAFLAZ,"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,PINAL,AZ,85132,9,PHO,FLO,USMS IGA,USMS IGA,Yes,659,04.11.2017,04.11.1987,662,566,732,712,358,315,706,4866,6456,3511,294,272,466,266,486,225,169,189,105,54,111,297,CCA,372,1.02,267138,1135,33.036771,-111.370421
39.7606,-104.849,2653,39.7606,,3130 N. OAKLAND ST. AURORA CO 80010,DENICDF,DENVER CONTRACT DETENTION FACILITY,3130 N. OAKLAND ST.,AURORA,ARAPAHOE,CO,80010,10,DEN,DEN,CDF,CDF,Yes,646,04.11.2017,11.04.1987,683,644,720,477,395,417,746,5160,3574,3028,212,431,395,325,210,268,172,223,200,121,107,216,GEO,372,1.02,262842,926,39.762115,-104.850649
43.0202,-78.2026,2593,43.0202,,4250 FEDERAL DRIVE BATAVIA NY 14020,BTV,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,GENESEE,NY,14020,2,BUF,BTV,SPC,SPC,Yes,562,04.11.2017,23.05.1995,598,570,566,540,424,493,581,2647,2551,2414,255,316,268,298,266,274,162,262,223,56,37,255,AGS,372,1.02,206589,635,43.021003,-78.199196
30.5653,-97.4198,2474,30.5653,,1001 WELCH STREET TAYLOR TX 76574,CCAHUTX,HUTTO CCA,1001 WELCH STREET,TAYLOR,WILLIAMSON,TX,76574,5,SNA,DHD,IGSA,FAMILY,Yes,509,04.11.2017,13.04.1998,512,492,493,493,496,500,580,3554,4209,3592,483,9,454,39,429,64,413,83,0,2,7,483,CCA,372,1.02,179835,513,30.566391,-97.41949
30.6977,-95.0061,2458,30.6977,,3400 FM 350 SOUTH LIVINGSTON TX 77351,POLKCTX,POLK COUNTY ADULT DETENTION FACILITY,3400 FM 350 SOUTH,LIVINGSTON,POLK,TX,77351,5,HOU,HOU,IGSA,IGSA,Yes,560,04.11.2017,16.05.2006,590,431,581,563,289,594,623,4587,5235,3215,230,201,453,128,436,128,130,159,61,46,95,230,M&TC,372,1.02,212070,1027,30.80619,-94.975545
27.3777,-99.4901,2404,27.3777,,1001 SAN RIO BOULEVARD LAREDO TX 78046,RGRNDTX,RIO GRANDE DETENTION CENTER,1001 SAN RIO BOULEVARD,LAREDO,WEBB,TX,78046,5,SNA,LRD,USMS IGA,USMS IGA,Yes,680,04.11.2017,01.01.2014,680,574,524,476,444,386,1087,11226,14781,13233,523,52,450,74,375,101,344,101,5,18,29,523,GEO,372,1.02,191158,676,27.380057,-99.486369
33.7818,-117.888,2113,33.7818,,501 THE CITY DRIVE SOUTH ORANGE CA 92868,TLACYCA,THEO LACY FACILITY,501 THE CITY DRIVE SOUTH,ORANGE,ORANGE,CA,92868,9,LOS,LOS,IGSA,IGSA,Yes,537,04.11.2017,09.08.2010,570,542,491,448,271,361,2382,7668,6036,5127,141,401,130,362,123,325,85,186,250,91,60,141,COUNTY (SHERIFF),372,1.02,179353,549,33.782302,-117.888931
25.7543,-80.4891,2080,25.7543,,18201 SOUTHWEST 12TH STREET MIAMI FL 33194,KRO,KROME NORTH SERVICE PROCESSING CENTER,18201 SOUTHWEST 12TH STREET,MIAMI,MIAMI-DADE,FL,33194,11,MIA,KRO,SPC,SPC,Yes,0,10.09.2017,03.11.1983,0,0,551,558,452,519,1504,11063,7540,6810,0,0,250,301,194,364,85,367,0,0,0,0,AGS,345,0.95,200940,1022,25.75506,-80.437893
28.8858,-97.9112,1978,28.8858,,FM 1144 AT US HIGHWAY 181 KARNES CITY TX 78118,KCCDCTX,KARNES COUNTY RESIDENTIAL CENTER,FM 1144 AT US HIGHWAY 181,KARNES CITY,KARNES,TX,78118,5,SNA,KCD,IGSA,FAMILY,Yes,574,04.11.2017,30.05.2014,660,550,416,512,416,84,455,12269,15247,3632,550,0,415,1,510,2,414,2,0,0,0,550,GEO,372,1.02,151869,675,28.885953,-97.910733
33.0637,-111.379,1909,33.0637,,3250 NORTH PINAL PARKWAY FLORENCE AZ 85132,FLO,FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,PINAL,AZ,85132,9,PHO,FLO,SPC,SPC,Yes,369,04.11.2017,31.08.1984,471,396,376,387,375,375,601,11939,12959,9846,292,104,282,94,321,65,271,104,8,6,89,292,ASSET (GUARD),372,1.02,137179,477,33.064974,-111.378531
30.7886,-92.4231,1902,30.7886,,1133 HAMPTON DUPRE ROAD PINE PRAIRIE LA 70576,PINEPLA,PINE PRAIRIE CORRECTIONAL CENTER,1133 HAMPTON DUPRE ROAD,PINE PRAIRIE,EVANGELINE,LA,70576,5,NOL,OAK,IGSA,DIGSA,Yes,691,04.11.2017,28.02.2000,842,716,707,479,0,0,1024,6983,3740,0,365,352,411,296,326,153,0,0,150,82,119,366,GEO,372,1.02,257967,940,30.788146,-92.41285
31.1666,-105.352,1703,31.1666,,401 S. VAQUERO AVE. SIERRA BLANCA TX 79851,WTXDFTX,WEST TEXAS DETENTION FACILITY,401 S. VAQUERO AVE.,SIERRA BLANCA,HUDSPETH,TX,79851,5,ELP,EPC,USMS IGA,USMS IGA,Yes,485,04.11.2017,18.07.2007,579,490,338,452,202,221,1668,12516,21395,16309,278,212,204,134,225,226,108,94,24,33,156,278,LASALLE CORRECTIONS,371,1.02,123402,827,31.183301,-105.35269
33.1714,-99.7201,1575,33.1714,,118 COUNTY ROAD 206 HASKELL TX 79521,HASKLTX,ROLLING PLAINS DETENTION CENTER,118 COUNTY ROAD 206,HASKELL,HASKELL,TX,79521,5,DAL,DAL,IGSA,IGSA,Yes,0,23.03.2017,18.06.2000,0,0,173,490,440,472,34,2156,6185,6120,0,0,23,150,122,368,157,284,0,0,0,0,LASALLE CORRECTIONS,171,0.47,62971,520,33.178452,-99.720047
27.5289,-99.4479,1535,27.5289,,4702 EAST SAUNDERS STREET LAREDO TX 78041,LRDICDF,LAREDO PROCESSING CENTER,4702 EAST SAUNDERS STREET,LAREDO,WEBB,TX,78041,5,SNA,LRD,USMS IGA,USMS IGA,Yes,368,04.11.2017,20.06.1983,386,332,311,301,279,312,911,8582,9971,9118,300,32,275,37,261,40,233,46,10,8,13,300,CCA,372,1.02,113526,400,27.528423,-99.448416
NA,NA,1487,0,,Redacted Redacted Redacted Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,11,MIA,,ORR,ORR,No,366,04.11.2017,29.12.2015,366,366,920,201,0,0,346,5633,2307,0,366,0,920,0,201,0,0,0,0,0,0,366,,372,1.02,335930,1972,NA,NA
34.0166,-86.0124,1471,34.0166,,827 FORREST AVENUE GADSDEN AL 35901,ETOWAAL,ETOWAH COUNTY JAIL (ALABAMA),827 FORREST AVENUE,GADSDEN,ETOWAH,AL,35901,11,NOL,ATL,USMS IGA,USMS IGA,Yes,297,04.11.2017,02.03.1996,325,309,301,278,281,302,422,1212,823,856,87,222,119,182,119,159,61,220,155,39,28,88,COUNTY (SHERIFF),372,1.02,109899,342,34.015943,-86.012259
33.6625,-117.703,1439,33.6625,,13502 MUSICK ROAD IRVINE CA 92618,MUSIKCA,JAMES A. MUSICK FACILITY,13502 MUSICK ROAD,IRVINE,ORANGE,CA,92618,9,LOS,LOS,IGSA,IGSA,Yes,284,04.11.2017,09.08.2010,328,310,297,290,254,288,1316,3981,3839,3791,177,134,161,136,138,152,122,132,49,54,31,177,COUNTY (SHERIFF),372,1.02,108483,340,33.642102,-117.769133
40.6661,-74.1897,1415,40.6661,,625 EVANS STREET ELIZABETH NJ 7201,ELZICDF,ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,UNION,NJ,7201,3,NEW,NEW,CDF,CDF,Yes,310,04.11.2017,22.01.1990,313,307,292,295,248,273,330,2033,1757,2081,166,141,166,126,168,126,150,97,49,31,61,166,CCA,372,1.02,106454,312,36.301353,-76.219129
30.485653,-92.595756,1310,0,,3843 STAGG AVENUE BASILE LA 70515,BASILLA,SOUTH LOUISIANA DETENTION CENTER,3843 STAGG AVENUE,BASILE,EVANGELINE,LA,70515,5,NOL,OAK,IGSA,IGSA,Yes,0,05.01.2016,31.01.1997,0,0,0,169,578,563,0,0,1051,4409,0,0,0,0,119,50,391,187,0,0,0,0,GEO,0,0,0,0,30.485653,-92.595756
35.38,-119.006,1286,35.38,,425 GOLDEN STATE AVE BAKERSFIELD CA 93301,CACFMES,MESA VERDE DETENTION FACILITY,425 GOLDEN STATE AVE,BAKERSFIELD,KERN,CA,93301,9,SFR,BKI,IGSA,DIGSA,Yes,378,04.11.2017,20.03.2015,404,385,374,368,159,0,438,3840,2173,1260,120,265,100,274,111,257,67,92,159,52,48,127,GEO,372,1.02,136581,421,35.380494,-119.005905
36.031,-114.979,1187,36.031,,18 E BASIC ROAD HENDERSON NV 89015,HENDENV,HENDERSON DETENTION CENTER,18 E BASIC ROAD,HENDERSON,CLARK,NV,89015,9,SLC,LVG,USMS IGA,USMS IGA,Yes,233,04.11.2017,04.02.2011,261,245,245,240,223,234,283,2334,2891,2407,45,200,38,208,19,221,6,217,72,65,63,45,CITY,372,1.02,89554,290,36.030087,-114.9796
32.372,-97.3891,1181,32.372,,1800 RIDGEMAR DRIVE CLEBURNE TX 76031,JOHNSTX,JOHNSON COUNTY CORRECTIONS CENTER,1800 RIDGEMAR DRIVE,CLEBURNE,JOHNSON,TX,76031,5,DAL,DAL,IGSA,IGSA,Yes,278,04.11.2017,01.05.1998,287,271,262,216,199,233,396,4458,2362,3310,53,218,75,187,74,143,58,141,86,45,87,53,LASALLE CORRECTIONS,372,1.02,95657,322,32.372572,-97.388975
26.8386,-81.1247,1141,26.8386,,1297 EAST SR 78 MOORE HAVEN FL 33471,GLADEFL,GLADES COUNTY DETENTION CENTER,1297 EAST SR 78,MOORE HAVEN,GLADES,FL,33471,11,MIA,KRO,IGSA,IGSA,Yes,384,04.11.2017,16.07.2007,456,422,305,130,92,192,922,2765,1016,686,79,343,49,256,5,125,6,86,211,81,48,83,COUNTY (SHERIFF),365,1,111464,449,26.9998,-81.069327
30.2957,-82.1222,1134,30.2957,,1 SHERIFF OFFICE DRIVE MACCLENNY FL 32063,BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,1 SHERIFF OFFICE DRIVE,MACCLENNY,BAKER,FL,32063,11,MIA,KRO,IGSA,IGSA,Yes,288,04.11.2017,07.06.2000,292,278,272,188,168,228,471,1949,1304,990,66,213,48,224,5,183,7,161,119,53,41,66,COUNTY,372,1.02,99327,297,30.28218,-82.12206
NA,NA,1131,0,,Redacted Redacted Redacted Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,5,SNA,HLG,ORR,ORR,No,219,04.11.2017,15.07.2011,229,197,227,310,136,261,172,2366,3140,1616,197,0,227,0,309,0,136,0,0,0,0,197,,372,1.02,82984,517,NA,NA
42.3405,-88.4409,1049,42.3405,,2200 NORTH SEMINARY AVENUE WOODSTOCK IL 60098,MCHENIL,MCHENRY COUNTY CORRECTIONAL FACILITY,2200 NORTH SEMINARY AVENUE,WOODSTOCK,MCHENRY,IL,60098,7,CHI,CHI,USMS IGA,USMS IGA,Yes,256,04.11.2017,24.12.1987,290,255,235,207,167,185,866,4537,4812,3396,67,188,88,148,64,143,18,149,96,50,42,67,COUNTY (SHERIFF),372,1.02,85924,296,42.339714,-88.443208
40.8733,-74.0401,981,40.8733,,160 SOUTH RIVER STREET HACKENSACK NJ 7601,BERGENJ,BERGEN COUNTY JAIL,160 SOUTH RIVER STREET,HACKENSACK,BERGEN,NJ,7601,3,NYC,VRK,USMS IGA,USMS IGA,Yes,378,04.11.2017,13.06.1989,380,336,225,147,106,167,367,964,540,384,110,225,76,149,39,109,3,103,91,45,90,110,COUNTY (SHERIFF),372,1.02,82301,324,40.900205,-74.036051
37.9944,-122.354,963,37.9944,,5555 GIANT HIGHWAY RICHMOND CA 94806,CONWECA,CONTRA COSTA COUNTY JAIL WEST,5555 GIANT HIGHWAY,RICHMOND,CONTRA COSTA,CA,94806,9,SFR,SFR,USMS IGA,USMS IGA,Yes,214,04.11.2017,05.04.2010,231,211,203,196,120,233,263,1321,1586,975,53,158,36,167,35,161,27,92,56,60,41,55,COUNTY (SHERIFF),372,1.02,74153,274,37.993542,-122.353032
39.1411,-121.587,928,39.1411,,215 5TH STREET MARYSVILLE CA 95901,YUBAJCA,YUBA COUNTY JAIL,215 5TH STREET,MARYSVILLE,YUBA,CA,95901,9,SFR,SFR,IGSA,IGSA,Yes,190,04.11.2017,03.01.1996,191,180,168,189,192,199,292,1635,1105,1484,31,149,19,148,9,180,12,180,84,40,25,31,COUNTY (SHERIFF),372,1.02,61261,210,39.140602,-121.586728
32.4195,-97.1969,921,32.4195,,1209 SUNFLOWER LN ALVARADO TX 76009,PRLDCTX,PRAIRIELAND DETENTION FACILITY,1209 SUNFLOWER LN,ALVARADO,JOHNSON,TX,76009,5,DAL,PRL,IGSA,DIGSA,Yes,600,04.11.2017,17.01.2017,655,595,326,0,0,0,729,6111,0,0,161,434,75,251,0,0,0,0,182,100,152,162,LASALLE CORRECTIONS,264,0.72,118999,650,32.420424,-97.196841
42.3344,-71.0677,916,42.3344,,20 BRADSTON STREET BOSTON MA 2118,SUFFOMA,SUFFOLK COUNTY HOUSE OF CORRECTIONS,20 BRADSTON STREET,BOSTON,SUFFOLK,MA,2118,1,BOS,BOS,IGSA,IGSA,Yes,210,04.11.2017,05.11.1996,218,196,186,192,153,189,282,2055,1685,1457,94,102,79,107,66,126,32,121,59,19,24,94,COUNTY (SHERIFF),372,1.02,67870,224,42.333897,-71.069986
43.4076,-88.7041,916,43.4076,,215 WEST CENTRAL STREET JUNEAU WI 53039,DODGEWI,DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,DODGE,WI,53039,7,CHI,CHI,USMS IGA,USMS IGA,Yes,177,04.11.2017,02.09.1986,196,173,191,199,160,193,478,2595,2976,2276,36,138,32,158,42,157,12,148,70,43,24,36,COUNTY (SHERIFF),372,1.02,69536,222,43.333208,-88.280921
31.323747,-92.53531,865,0,"Addresses don't add up. Geogroup shows 96 George Thompson Drive, Alexandria, LA 71303.",1511 ARNOLD DRIVE ALEXANDRIA LA 71303,JENATLA,ALEXANDRIA STAGING FACILITY,1511 ARNOLD DRIVE,ALEXANDRIA,COUNTY,LA,71303,5,NOL,OAK,Other,STAGING,Yes,286,04.11.2017,10.11.2014,367,252,246,200,167,0,641,31220,21268,19015,86,166,96,149,49,151,37,130,76,42,47,86,GEO,372,1.02,89688,394,31.323747,-92.53531
30.879161,-81.978064,843,0,,3423 HIGHWAY 252 EAST FOLKSTON GA 31537,JAMESGA,FOLKSTON ICE PROCESSING CENTER (D. RAY JAMES),3423 HIGHWAY 252 EAST,FOLKSTON,CHARLTON,GA,31537,11,ATL,JAC,IGSA,DIGSA,Yes,555,04.11.2017,30.01.2017,629,588,255,0,0,0,1400,3126,0,0,236,352,202,53,0,0,0,0,246,57,49,236,GEO,245,0.67,92991,682,30.879161,-81.978064
27.739633,-97.760526,826,0,,4909 FM (FARM TO MARKET) 2826 ROBSTOWN TX 78380,CBENDTX,COASTAL BEND DETENTION FACILITY,4909 FM (FARM TO MARKET) 2826,ROBSTOWN,NUECES,TX,78380,5,HOU,PIC,USMS IGA,USMS IGA,Yes,3,04.11.2017,09.06.2012,4,1,172,0,41,612,191,862,0,930,1,0,167,5,0,0,38,2,0,0,0,1,GEO,219,0.6,62835,400,27.739633,-97.760526
38.1699,-75.376,818,38.1699,,5022 JOYNER ROAD SNOW HILL MD 21863,WORCEMD,WORCESTER COUNTY JAIL,5022 JOYNER ROAD,SNOW HILL,WORCESTER,MD,21863,4,BAL,WCD,IGSA,IGSA,Yes,170,04.11.2017,04.01.2000,180,169,174,165,142,168,176,877,805,648,39,130,31,143,28,137,15,127,72,25,33,39,COUNTY (SHERIFF),372,1.02,63635,190,38.217824,-75.326618
41.3886,-75.0719,800,41.3886,,175 PIKE COUNTY BOULEVARD LORDS VALLEY PA 18428,PIKCOPA,PIKE COUNTY CORRECTIONAL FACILITY,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PIKE,PA,18428,3,PHI,PKE,IGSA,IGSA,Yes,163,04.11.2017,13.03.1996,192,179,178,169,114,160,253,768,819,720,27,152,39,139,31,138,20,94,102,31,17,29,COUNTY (SHERIFF),372,1.02,65148,216,41.392133,-75.073642
45.3047,-93.6206,787,45.3047,,13880 UNITED STATES HIGHWAY 10 ELK RIVER MN 55330,SHERBMN,SHERBURNE COUNTY JAIL,13880 UNITED STATES HIGHWAY 10,ELK RIVER,SHERBURNE,MN,55330,8,SPM,SPM,USMS IGA,USMS IGA,Yes,268,04.11.2017,01.04.1991,274,256,197,127,97,110,340,1473,876,905,69,187,48,149,34,93,11,85,87,42,58,69,COUNTY (SHERIFF),372,1.02,71733,276,45.306321,-93.618729
