Source,Target,Weight
"Burch, Charles Eaton","Allison, Madeline G.",2
"Dickerman, G. S.","Villard, Oswald Garrison",2
"Pickens, William","Allison, Madeline G.",3
"Spencer, Anne","Allison, Madeline G.",2
"Spencer, Anne","Walts, Frank",2
"Chesnutt, Charles W.","Villard, Oswald Garrison",2
"Chesnutt, Charles W.","Brown, Richard L.",2
"Chesnutt, Charles W.","Brawley, Benjamin",3
"Chesnutt, Charles W.","Hershaw, L. M.",2
Underwood and Underwood,"Brawley, Benjamin",2
Underwood and Underwood,"Allison, Madeline G.",2
Underwood and Underwood,"Walts, Frank",2
"Storey, Moorfield","Villard, Oswald Garrison",2
"Murray, Ella Rush","Allison, Madeline G.",2
"Allison, Madeline G.",J. F.,2
"Allison, Madeline G.","Jordan, Winifred Virginia",4
"Allison, Madeline G.","Cotter, Joseph S.",2
"Allison, Madeline G.","Bagnall, Robert W.",3
"Allison, Madeline G.","Fawcett, James Waldo",3
"Allison, Madeline G.","Newsome, Effie Lee",6
"Allison, Madeline G.","Stoddard, Yetta Kay",2
"Allison, Madeline G.","Canfield, Dorothy",2
"Allison, Madeline G.","Hughes, Langston",11
"Allison, Madeline G.","McKay, Claude",2
"Allison, Madeline G.","Francique, John",2
"Allison, Madeline G.","Walts, Frank",3
"Allison, Madeline G.","Jones, Scipio",2
"Walts, Frank","Holmes, John Haynes",2
"Jones, Scipio","Hughes, Langston",2
"Hershaw, L. M.","Villard, Oswald Garrison",3
"Hughes, Langston","Fawcett, James Waldo",2
"Hughes, Langston","Newsome, Effie Lee",4
"Hughes, Langston","McKay, Claude",2
"Russell, Charles Edward","Villard, Oswald Garrison",3
"Villard, Oswald Garrison",Scurlock,2
"Brawley, Benjamin","Watkins, Lucian B.",2
