"title","release_year","character","gender","words","proportion_of_dialogue","age","gross","script_id"
"25th Hour",2002,"Naturelle Rivie","woman",817,0.0806356099,23,19,630
"25th Hour",2002,"Senka Valghobek","man",186,0.0183576786,41,19,630
"25th Hour",2002,"Simon","man",209,0.0206277142,32,19,630
"25th Hour",2002,"Trey","man",116,0.0114488749,,19,630
"25th Hour",2002,"Uncle Nikolai","man",619,0.0610935649,44,19,630
"A Serious Man",2009,"Clive Park","man",273,0.0302359065,,10,633
"A Serious Man",2009,"Danny Gopnik","man",647,0.0716579909,15,10,633
"A Serious Man",2009,"Don","man",739,0.0818473807,,10,633
"A Serious Man",2009,"Gar","man",140,0.0155055931,,10,633
"A Serious Man",2009,"Hebrew School T","man",146,0.0161701185,,10,633
"A Serious Man",2009,"Judith Gopnik","woman",227,0.0251412117,,10,633
"A Serious Man",2009,"Larry Gopnik","man",5071,0.5616347325,41,10,633
"A Serious Man",2009,"Mimi","woman",219,0.0242551778,,10,633
"A Serious Man",2009,"Mitch Brandt","man",309,0.034223059,,10,633
"A Serious Man",2009,"Reb Groshkover","man",111,0.0122937202,,10,633
"A Serious Man",2009,"Sarah","woman",290,0.0321187285,,10,633
"A Serious Man",2009,"Shtetl Wife","woman",130,0.0143980507,,10,633
"A Serious Man",2009,"Sy Ableman","man",370,0.0409790674,53,10,633
"A Serious Man",2009,"Uncle Arthur","man",357,0.0395392624,53,10,633
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Buckaroo Banzai","man",1723,0.2809849967,37,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"General Catburd","man",334,0.0544683627,54,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Highway Patrolm","man",126,0.0205479452,36,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"John Emdall","woman",226,0.0368558382,46,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Lord John Whorf","man",330,0.053816047,39,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"New Jersey","man",132,0.0215264188,32,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Penny Priddy","woman",653,0.1064905414,30,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Perfect Tommy","man",464,0.0756686236,28,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"President Widma","man",303,0.0494129159,49,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Professor Hikit","man",301,0.049086758,53,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Rawhide","man",493,0.0803979126,25,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Reno Nevada","man",360,0.0587084149,40,,640
"The Adventures of Buckaroo Banzai Across the 8th Dimension",1984,"Secretary Of De","man",687,0.112035225,48,,640
"Above the Law",1988,"Alex, The Pimp","man",156,0.0198878123,,40,642
"Above the Law",1988,"Delores 'Jacks'","woman",686,0.0874553799,39,40,642
"Above the Law",1988,"Detective Lukic","man",199,0.0253697093,,40,642
"Above the Law",1988,"Kurt Zagon","man",914,0.1165221826,60,40,642
"Above the Law",1988,"Lieutenant Stro","man",169,0.02154513,,40,642
"Above the Law",1988,"Machete Man","man",113,0.0144059153,,40,642
"Above the Law",1988,"Nelson Fox","man",667,0.0850331464,46,40,642
"Above the Law",1988,"Nico Toscani","man",3835,0.48890872,36,40,642
"Above the Law",1988,"Rosa Toscani","woman",168,0.0214176441,66,40,642
"Above the Law",1988,"Sara Toscani","woman",198,0.0252422234,30,40,642
"Above the Law",1988,"Tony Salvano","man",203,0.0258796532,39,40,642
"Above the Law",1988,"Uncle Branca","man",271,0.0345486996,,40,642
"Above the Law",1988,"Watanabe","woman",265,0.0337837838,,40,642
"Air Force One",1997,"Agent Gibbs","man",299,0.0484524388,42,327,647
"Air Force One",1997,"Alice Marshall","woman",371,0.0601199157,13,327,647
"Air Force One",1997,"Boris Bazylev","man",115,0.0186355534,42,327,647
"Air Force One",1997,"Chief Of Staff ","man",319,0.0516934046,48,327,647
"Air Force One",1997,"Defense Secreta","man",210,0.034030141,61,327,647
"Air Force One",1997,"F-15 Leader Col","man",293,0.0474801491,38,327,647
"Air Force One",1997,"General Northwo","man",202,0.0327337547,50,327,647
"Air Force One",1997,"Grace Marshall","woman",497,0.0805380003,41,327,647
"Air Force One",1997,"Ivan Korshunov","man",1075,0.1742019122,39,327,647
"Air Force One",1997,"Major Caldwell","man",319,0.0516934046,47,327,647
"Air Force One",1997,"Nsa Advisor Jac","man",113,0.0183114568,49,327,647
"Air Force One",1997,"President James","man",1491,0.241614001,55,327,647
"Air Force One",1997,"Press Secretary","woman",235,0.0380813482,42,327,647
"Air Force One",1997,"Reporter #1","man",123,0.0199319397,42,327,647
"Air Force One",1997,"Vice President ","woman",389,0.063036785,50,327,647
"Air Force One",1997,"White House Aid","man",120,0.0194457948,34,327,647
"Airplane!",1980,"Air Controller ","man",162,0.0295404814,63,269,648
"Airplane!",1980,"Bernice","woman",124,0.0226112327,,269,648
"Airplane!",1980,"Captain Oveur","man",324,0.0590809628,54,269,648
"Airplane!",1980,"Dr. Rumack","man",806,0.1469730124,54,269,648
"Airplane!",1980,"Elaine","woman",904,0.1648431802,25,269,648
"Airplane!",1980,"Kramer","man",1191,0.2171772429,61,269,648
"Airplane!",1980,"Milton","man",217,0.0395696572,,269,648
"Airplane!",1980,"Murdock","man",268,0.0488694384,33,269,648
"Airplane!",1980,"Randy","woman",472,0.0860685631,24,269,648
"Airplane!",1980,"Ted Striker","man",1016,0.185266229,33,269,648
"Airplane II: The Sequel",1982,"Captain Oveur","man",346,0.0592262924,56,,650
"Airplane II: The Sequel",1982,"Dr. Rumack","man",133,0.022766176,56,,650
"Airplane II: The Sequel",1982,"Elaine","woman",930,0.1591920575,27,,650
"Airplane II: The Sequel",1982,"Hallick","man",170,0.0290996234,,,650
"Airplane II: The Sequel",1982,"Jacobs","man",139,0.0237932215,35,,650
"Airplane II: The Sequel",1982,"Jimmy Wilson","man",127,0.0217391304,11,,650
"Airplane II: The Sequel",1982,"Kramer","man",382,0.0653885656,,,650
"Airplane II: The Sequel",1982,"Kruger","man",276,0.0472440945,51,,650
"Airplane II: The Sequel",1982,"Mary","woman",289,0.0494693598,,,650
"Airplane II: The Sequel",1982,"Simon","man",392,0.0671003081,45,,650
"Airplane II: The Sequel",1982,"Stella","woman",363,0.0621362547,,,650
"Airplane II: The Sequel",1982,"Ted","man",1646,0.2817528244,,,650
"Airplane II: The Sequel",1982,"Testa","woman",122,0.0208832592,25,,650
"Airplane II: The Sequel",1982,"The Commissione","man",203,0.0347483738,67,,650
"Airplane II: The Sequel",1982,"The Sarge","man",206,0.0352618966,61,,650
"Airplane II: The Sequel",1982,"Voice Of Rok, T","man",118,0.0201985621,36,,650
"Alien Nation",1988,"Capt. Warner","man",139,0.0222863556,46,53,652
"Alien Nation",1988,"Cassandra","woman",220,0.0352733686,31,53,652
"Alien Nation",1988,"Computer Operat","woman",129,0.0206830207,,53,652
"Alien Nation",1988,"Det. Bill Tuggl","man",149,0.0238896906,39,53,652
"Alien Nation",1988,"Det. Samuel 'Ge","man",1551,0.2486772487,36,53,652
"Alien Nation",1988,"Det. Sgt. Matth","man",2692,0.431617765,48,53,652
"Alien Nation",1988,"Fedorchuk","man",175,0.0280583614,44,53,652
"Alien Nation",1988,"Mayor","man",144,0.0230880231,,53,652
"Alien Nation",1988,"O'Neal","man",148,0.0237293571,,53,652
"Alien Nation",1988,"Quint","man",130,0.0208433542,,53,652
"Alien Nation",1988,"William Harcour","man",517,0.0828924162,50,53,652
"Alien Nation",1988,"Winter","man",243,0.038961039,41,53,652
"Ali",2001,"Smokin' Joe Fr","man",150,0.016664815,33,89,653
"Ali",2001,"Angelo Dundee","man",318,0.0353294078,55,89,653
"Ali",2001,"Belinda Ali","woman",566,0.062881902,27,89,653
"Ali",2001,"Bradley","man",128,0.0142206422,51,89,653
"Ali",2001,"Chauncey Eskrid","man",247,0.0274413954,54,89,653
"Ali",2001,"Don King","man",398,0.0442173092,44,89,653
"Ali",2001,"Drew 'Bundini' ","man",708,0.0786579269,34,89,653
"Ali",2001,"Elijah Muhammad","man",206,0.022886346,64,89,653
"Ali",2001,"George Foreman","man",162,0.0179980002,,89,653
"Ali",2001,"Howard Bingham","man",188,0.0208865682,36,89,653
"Ali",2001,"Howard Cosell","man",575,0.0638817909,63,89,653
"Ali",2001,"Jabir Herbert M","man",232,0.0257749139,47,89,653
"Ali",2001,"Joe Smiley","man",128,0.0142206422,44,89,653
"Ali",2001,"Malcolm X","man",662,0.0735473836,44,89,653
"Ali",2001,"Muhammad Ali","man",4042,0.4490612154,33,89,653
"Ali",2001,"Sonji Roi","woman",291,0.0323297411,30,89,653
"Amadeus",1984,"Antonio Salieri","man",1919,0.1561686198,45,,664
"Amadeus",1984,"Archbishop Coll","man",150,0.0122070313,52,,664
"Amadeus",1984,"Baron Van Swiet","man",246,0.0200195313,61,,664
"Amadeus",1984,"Constanze Mozar","woman",1406,0.1144205729,22,,664
"Amadeus",1984,"Count Orsini-Ro","man",303,0.0246582031,54,,664
"Amadeus",1984,"Count Von Strac","man",155,0.0126139323,52,,664
"Amadeus",1984,"Emanuel Schikan","man",702,0.0571289063,35,,664
"Amadeus",1984,"Emperor Joseph ","man",946,0.0769856771,38,,664
"Amadeus",1984,"Father Vogler","man",309,0.0251464844,31,,664
"Amadeus",1984,"Frau Schlumberg","woman",107,0.0087076823,,,664
"Amadeus",1984,"Frau Weber","woman",175,0.0142415365,,,664
"Amadeus",1984,"Katerina Cavali","woman",271,0.0220540365,31,,664
"Amadeus",1984,"Leopold Mozart","man",646,0.0525716146,61,,664
"Amadeus",1984,"Lorl","woman",307,0.024983724,18,,664
"Amadeus",1984,"Michael Schlumb","man",410,0.0333658854,52,,664
"Amadeus",1984,"Papageno In 'Th","man",154,0.0125325521,,,664
"Amadeus",1984,"Parody Commenda","man",107,0.0087076823,50,,664
"Amadeus",1984,"Salieri'S Valet","man",149,0.012125651,36,,664
"Amadeus",1984,"Wolfgang Amadeu","man",3826,0.3113606771,31,,664
"American Gangster",2007,"2-Star General","man",144,0.0159309658,,164,665
"American Gangster",2007,"Ana","woman",220,0.0243389756,,164,665
"American Gangster",2007,"Charlie William","man",115,0.0127226463,60,164,665
"American Gangster",2007,"Detective Trupo","man",377,0.0417081536,39,164,665
"American Gangster",2007,"Frank Lucas","man",2480,0.2743666335,53,164,665
"American Gangster",2007,"Freddie Spearma","man",140,0.015488439,48,164,665
"American Gangster",2007,"Huey Lucas","man",529,0.058524173,30,164,665
"American Gangster",2007,"Jackie","woman",132,0.0146033853,,164,665
"American Gangster",2007,"Javier J. River","man",392,0.0433676292,39,164,665
"American Gangster",2007,"Jimmy Zee","man",115,0.0127226463,,164,665
"American Gangster",2007,"Laurie Roberts","woman",190,0.0210200243,36,164,665
"American Gangster",2007,"Lou Toback","man",318,0.0351808828,50,164,665
"American Gangster",2007,"Mama Lucas","woman",173,0.0191392853,85,164,665
"American Gangster",2007,"Moses Jones","man",103,0.0113950658,38,164,665
"American Gangster",2007,"Mp","man",168,0.0185861268,40,164,665
"American Gangster",2007,"Nate","man",175,0.0193605487,48,164,665
"American Gangster",2007,"Richie Roberts","man",2217,0.2452704945,43,164,665
"American Gangster",2007,"Sheila","woman",224,0.0247815024,,164,665
"American Gangster",2007,"Tango","man",140,0.015488439,35,164,665
"American Gangster",2007,"Teddy","man",204,0.0225688682,,164,665
"American Gangster",2007,"Tony","man",261,0.0288748755,,164,665
"American Gangster",2007,"Us Attorney","man",222,0.024560239,45,164,665
"American Graffiti",1973,"Bob Falfa","man",248,0.0251164675,31,565,666
"American Graffiti",1973,"Budda","woman",226,0.0228883938,22,565,666
"American Graffiti",1973,"Carlos","man",131,0.0132671663,18,565,666
"American Graffiti",1973,"Carol","woman",729,0.0738302613,14,565,666
"American Graffiti",1973,"Curt","man",1240,0.1255823375,26,565,666
"American Graffiti",1973,"Debbie","woman",735,0.0744379178,26,565,666
"American Graffiti",1973,"Disc Jockey","man",622,0.0629937209,35,565,666
"American Graffiti",1973,"Girl","woman",109,0.0110390926,,565,666
"American Graffiti",1973,"Joe","man",559,0.0566133279,35,565,666
"American Graffiti",1973,"John","man",1472,0.1490783877,28,565,666
"American Graffiti",1973,"Laurie","woman",642,0.0650192425,26,565,666
"American Graffiti",1973,"Manager","man",333,0.0337249342,,565,666
"American Graffiti",1973,"Mr. Wolfe","man",157,0.0159003443,31,565,666
"American Graffiti",1973,"Steve","man",889,0.0900344339,19,565,666
"American Graffiti",1973,"Terry","man",1604,0.1624468301,20,565,666
"American Graffiti",1973,"Wendy","woman",178,0.018027142,,565,666
"An American Werewolf in London",1981,"Chess Player","man",221,0.0349905003,47,,674
"An American Werewolf in London",1981,"David Kessler","man",2295,0.3633628879,30,,674
"An American Werewolf in London",1981,"Dr. J. S. Hirsc","man",1161,0.1838188727,52,,674
"An American Werewolf in London",1981,"Inspector Villi","man",220,0.0348321723,52,,674
"An American Werewolf in London",1981,"Jack Goodman","man",986,0.156111463,26,,674
"An American Werewolf in London",1981,"Mr. Collins","man",135,0.0213742875,37,,674
"An American Werewolf in London",1981,"Nurse Alex Pric","woman",1024,0.1621279291,29,,674
"An American Werewolf in London",1981,"Nurse Susan Gal","woman",126,0.019949335,,,674
"An American Werewolf in London",1981,"Woman In Zoo","woman",148,0.0234325522,59,,674
"Anastasia",1997,"Anastasia","woman",1197,0.2323820617,36,110,676
"Anastasia",1997,"Bartok","man",673,0.1306542419,33,110,676
"Anastasia",1997,"Dimitri","man",944,0.1832653854,,110,676
"Anastasia",1997,"Phlegmenkoff","woman",105,0.0203843914,50,110,676
"Anastasia",1997,"Rasputin","man",743,0.1442438361,59,110,676
"Anastasia",1997,"Sophie","woman",242,0.0469811687,49,110,676
"Anastasia",1997,"Tatiana","woman",604,0.1172587847,,110,676
"Anastasia",1997,"Vladimir","man",643,0.1248301301,42,110,676
"Analyze That",2002,"Agent Miller","man",137,0.0106681202,37,48,678
"Analyze That",2002,"Anthony Bella","man",170,0.0132378134,43,48,678
"Analyze That",2002,"Ben Sobel","man",4922,0.3832736334,54,48,678
"Analyze That",2002,"Coyote","man",105,0.0081762965,54,48,678
"Analyze That",2002,"Ducks","man",103,0.0080205575,,48,678
"Analyze That",2002,"Eddie Devol","man",233,0.0181435913,,48,678
"Analyze That",2002,"Jelly","man",653,0.0508487774,65,48,678
"Analyze That",2002,"Laura Sobel","woman",759,0.0591029435,39,48,678
"Analyze That",2002,"Masiello","man",280,0.0218034574,73,48,678
"Analyze That",2002,"Michael Sobel","man",125,0.0097336863,19,48,678
"Analyze That",2002,"Paul Vitti","man",4327,0.3369412864,59,48,678
"Analyze That",2002,"Raoul Berman","man",394,0.0306805793,38,48,678
"Analyze That",2002,"Richard Chapin","man",450,0.0350412708,50,48,678
"Analyze That",2002,"Rigazzi Gunman","man",184,0.0143279863,,48,678
"Annie Hall",1977,"Allison","woman",141,0.0107338611,25,152,682
"Annie Hall",1977,"Alvy Singer","man",7661,0.5832064555,42,152,682
"Annie Hall",1977,"Annie Hall","woman",3719,0.2831151035,31,152,682
"Annie Hall",1977,"Doctor","man",135,0.0102771011,56,152,682
"Annie Hall",1977,"Man In Theatre ","man",267,0.0203258222,36,152,682
"Annie Hall",1977,"Mom Hall","woman",110,0.0083739342,53,152,682
"Annie Hall",1977,"Rob","man",567,0.0431638246,38,152,682
"Annie Hall",1977,"Robin","woman",172,0.0130937881,34,152,682
"Annie Hall",1977,"Tony Lacey","man",364,0.0277101096,36,152,682
"The Assignment",1997,"Admiral Crawfor","man",193,0.019074916,57,1,697
"The Assignment",1997,"Agnieska","woman",263,0.0259932793,41,1,697
"The Assignment",1997,"Amos","man",1799,0.1778019371,54,1,697
"The Assignment",1997,"Carl Mickens - ","man",260,0.025696778,62,1,697
"The Assignment",1997,"Carla","woman",564,0.0557422415,32,1,697
"The Assignment",1997,"Frank","man",125,0.0123542202,,1,697
"The Assignment",1997,"Jack Shaw","man",3484,0.3443368255,62,1,697
"The Assignment",1997,"Koj","man",129,0.0127495552,37,1,697
"The Assignment",1997,"Lt. Cmdr. Annib","man",2987,0.2952164459,38,1,697
"The Assignment",1997,"Maura Ramirez","woman",314,0.0310338011,,1,697
"Austin Powers: International Man of Mystery",1997,"Alotta Fagina","woman",170,0.0309484799,33,102,698
"Austin Powers: International Man of Mystery",1997,"Austin Powers","man",2298,0.4183506281,34,102,698
"Austin Powers: International Man of Mystery",1997,"Basil Expositio","man",773,0.1407245585,55,102,698
"Austin Powers: International Man of Mystery",1997,"Frau Farbissina","woman",223,0.0405971236,44,102,698
"Austin Powers: International Man of Mystery",1997,"Mrs. Kensington","woman",211,0.038412525,41,102,698
"Austin Powers: International Man of Mystery",1997,"Mustafa","man",168,0.0305843801,30,102,698
"Austin Powers: International Man of Mystery",1997,"Number Two","man",202,0.0367740761,67,102,698
"Austin Powers: International Man of Mystery",1997,"Scott Evil","man",338,0.06153286,23,102,698
"Austin Powers: International Man of Mystery",1997,"Therapist","woman",118,0.021481886,41,102,698
"Austin Powers: International Man of Mystery",1997,"Vanessa Kensing","woman",992,0.1805934826,32,102,698
"Austin Powers: The Spy Who Shagged Me",1999,"Austin Powers","man",2353,0.5306720794,36,351,699
"Austin Powers: The Spy Who Shagged Me",1999,"Basil Expositio","man",432,0.0974289581,57,351,699
"Austin Powers: The Spy Who Shagged Me",1999,"Felicity Shagwe","woman",940,0.2119981958,29,351,699
"Austin Powers: The Spy Who Shagged Me",1999,"Number Two","man",359,0.0809652684,69,351,699
"Austin Powers: The Spy Who Shagged Me",1999,"Scott Evil","man",246,0.0554803789,25,351,699
"Austin Powers: The Spy Who Shagged Me",1999,"The President","man",104,0.0234551195,41,351,699
"L'Avventura",1960,"Anna","woman",496,0.0564727314,27,,701
"L'Avventura",1960,"Anna'S Father","man",298,0.0339291814,,,701
"L'Avventura",1960,"Carabiniere","man",134,0.015256746,,,701
"L'Avventura",1960,"Claudia","woman",1721,0.1959467152,29,,701
"L'Avventura",1960,"Corrado","man",612,0.0696800638,,,701
"L'Avventura",1960,"Ettore","man",276,0.0314243425,,,701
"L'Avventura",1960,"Father","man",122,0.0138904702,,,701
"L'Avventura",1960,"Girl","woman",128,0.0145736081,,,701
"L'Avventura",1960,"Giulia","woman",467,0.0531708983,33,,701
"L'Avventura",1960,"Husband","man",153,0.0174200159,,,701
"L'Avventura",1960,"Lieutenant","man",310,0.0352954571,,,701
"L'Avventura",1960,"Man'S Voice","man",103,0.0117272003,,,701
"L'Avventura",1960,"Marshal","man",277,0.0315381988,,,701
"L'Avventura",1960,"Midwife","woman",142,0.0161675965,,,701
"L'Avventura",1960,"Old Man","man",139,0.0158260276,,,701
"L'Avventura",1960,"Patrizia","woman",756,0.0860753729,32,,701
"L'Avventura",1960,"Raimondo","man",165,0.0187862917,37,,701
"L'Avventura",1960,"Sailor","man",275,0.0313104862,,,701
"L'Avventura",1960,"Sandro","man",1724,0.1962882842,35,,701
"L'Avventura",1960,"The Princess","woman",195,0.0222019811,,,701
"L'Avventura",1960,"Zuria - Journal","man",290,0.0330183309,55,,701
"Awakenings",1990,"Anthony","man",191,0.0160234899,28,107,706
"Awakenings",1990,"Dr. Kaufman","man",762,0.0639261745,45,107,706
"Awakenings",1990,"Dr. Malcolm Say","man",4998,0.419295302,39,107,706
"Awakenings",1990,"Fernando","man",112,0.0093959732,,107,706
"Awakenings",1990,"Hector","man",228,0.0191275168,,107,706
"Awakenings",1990,"Hospital Direct","man",217,0.018204698,,107,706
"Awakenings",1990,"Leonard Lowe","man",2469,0.2071308725,47,107,706
"Awakenings",1990,"Lucy","woman",189,0.0158557047,62,107,706
"Awakenings",1990,"Miss Costello","woman",546,0.0458053691,,107,706
"Awakenings",1990,"Mrs. Lowe","woman",725,0.0608221477,85,107,706
"Awakenings",1990,"Neurochemist","man",176,0.0147651007,37,107,706
"Awakenings",1990,"Nurse Margaret","woman",315,0.0264261745,49,107,706
"Awakenings",1990,"Old Doctor","man",350,0.0293624161,,107,706
"Awakenings",1990,"Paula","woman",509,0.0427013423,26,107,706
"Awakenings",1990,"Rose","woman",133,0.0111577181,64,107,706
"Bachelor Party",1984,"Bobbi","woman",123,0.0266176152,23,99,707
"Bachelor Party",1984,"Chulo","man",283,0.0612421554,,99,707
"Bachelor Party",1984,"Cole Whittier","man",646,0.1397965808,,99,707
"Bachelor Party",1984,"Debbie Thompson","woman",519,0.1123133521,23,99,707
"Bachelor Party",1984,"Dr. Stan Gassko","man",311,0.0673014499,36,99,707
"Bachelor Party",1984,"Ed Thompson","man",519,0.1123133521,56,99,707
"Bachelor Party",1984,"Father Falwell","man",116,0.0251027916,,99,707
"Bachelor Party",1984,"Gary","man",334,0.0722787275,34,99,707
"Bachelor Party",1984,"Ilene","woman",169,0.0365721705,33,99,707
"Bachelor Party",1984,"Jay O'Neill","man",719,0.1555940273,30,99,707
"Bachelor Party",1984,"Larry","man",210,0.0454447089,,99,707
"Bachelor Party",1984,"Mrs. Thompson","woman",144,0.0311620861,54,99,707
"Bachelor Party",1984,"Parkview Hotel ","man",173,0.037437784,43,99,707
"Bachelor Party",1984,"Rajah","man",119,0.0257520017,43,99,707
"Bachelor Party",1984,"Ryko","man",236,0.0510711967,30,99,707
"Bad Boys",1995,"Captain Howard","man",653,0.054850903,44,131,708
"Bad Boys",1995,"Casper","man",116,0.0097438051,28,131,708
"Bad Boys",1995,"Detective Sanch","man",126,0.0105837883,40,131,708
"Bad Boys",1995,"Eddie Dominguez","man",185,0.0155396892,30,131,708
"Bad Boys",1995,"Fouchet","man",711,0.0597228055,42,131,708
"Bad Boys",1995,"Francine","woman",238,0.0199916002,42,131,708
"Bad Boys",1995,"Jojo","man",120,0.0100797984,29,131,708
"Bad Boys",1995,"Julie Mott","woman",1990,0.1671566569,29,131,708
"Bad Boys",1995,"Marcus Burnett","man",3955,0.3322133557,30,131,708
"Bad Boys",1995,"Max Logan","woman",215,0.0180596388,,131,708
"Bad Boys",1995,"Mike Lowrey","man",2906,0.244099118,27,131,708
"Bad Boys",1995,"Theresa Burnett","woman",568,0.0477110458,31,131,708
"Bad Boys",1995,"Woman At Boxing","woman",122,0.010247795,,131,708
"Bad Lieutenant",1992,"Ariane","woman",376,0.0875640429,,4,712
"Bad Lieutenant",1992,"Beat Cop","man",107,0.0249184909,58,4,712
"Bad Lieutenant",1992,"Lite","man",204,0.0475081509,,4,712
"Bad Lieutenant",1992,"Priest","man",145,0.0337680484,54,4,712
"Bad Lieutenant",1992,"The Lieutenant","man",2616,0.6092221705,53,4,712
"Bad Lieutenant",1992,"The Nun","woman",846,0.1970190964,28,4,712
"Bamboozled",2000,"Dot","woman",106,0.0092439173,27,3,714
"Bamboozled",2000,"Honeycutt","man",455,0.0396790791,,3,714
"Bamboozled",2000,"Jukka Laks","man",111,0.0096799512,,3,714
"Bamboozled",2000,"Junebug","man",352,0.0306967821,59,3,714
"Bamboozled",2000,"Mantan","man",1396,0.1217406471,27,3,714
"Bamboozled",2000,"Mau Mau: Big Bl","man",562,0.0490102032,27,3,714
"Bamboozled",2000,"Myrna Goldfarb","woman",205,0.0178773873,32,3,714
"Bamboozled",2000,"Orchid Dothan","woman",275,0.023981861,57,3,714
"Bamboozled",2000,"Pierre Delacroi","man",4179,0.3644370803,40,3,714
"Bamboozled",2000,"Sleep'N Eat","man",332,0.0289526467,37,3,714
"Bamboozled",2000,"Sloan Hopkins","woman",1249,0.1089212523,29,3,714
"Bamboozled",2000,"Thomas Dunwitty","man",1675,0.1460713351,30,3,714
"Bamboozled",2000,"Womack","man",570,0.0497078573,37,3,714
"Barton Fink",1991,"Audrey Taylor","woman",505,0.051010101,36,12,715
"Barton Fink",1991,"Barton Fink","man",3418,0.3452525253,34,12,715
"Barton Fink",1991,"Ben Geisler","man",573,0.0578787879,38,12,715
"Barton Fink",1991,"Charlie Meadows","man",2130,0.2151515152,39,12,715
"Barton Fink",1991,"Detective Deuts","man",210,0.0212121212,48,12,715
"Barton Fink",1991,"Detective Mastr","man",296,0.0298989899,44,12,715
"Barton Fink",1991,"Garland Stanfor","man",321,0.0324242424,57,12,715
"Barton Fink",1991,"Jack Lipnick","man",1626,0.1642424242,50,12,715
"Barton Fink",1991,"Lou Breeze","man",131,0.0132323232,41,12,715
"Barton Fink",1991,"Mailman","man",166,0.0167676768,,12,715
"Barton Fink",1991,"W.P. Mayhew","man",524,0.0529292929,51,12,715
