script_id,imdb_character_name,words,gender,age
652,cassandra,220,f,31
652,computer operat,129,f,NULL
652,det. bill tuggl,149,m,39
652,det. samuel 'ge,1551,m,36
652,det. sgt. matth,2692,m,48
652,fedorchuk,175,m,44
652,mayor,144,m,NULL
652,o'neal,148,m,NULL
652,quint,130,m,NULL
652,william harcour,517,m,50
652,winter,243,m,41
653,smokin' joe fr,150,m,33
653,angelo dundee,318,m,55
653,belinda ali,566,f,27
653,bradley,128,m,51
653,chauncey eskrid,247,m,54
653,don king,398,m,44
653,drew 'bundini' ,708,m,34
653,elijah muhammad,206,m,64
653,george foreman,162,m,NULL
653,howard bingham,188,m,36
653,howard cosell,575,m,63
653,jabir herbert m,232,m,47
653,joe smiley,128,m,44
653,malcolm x,662,m,44
653,muhammad ali,4042,m,33
653,sonji roi,291,f,30
664,antonio salieri,1919,m,45
664,archbishop coll,150,m,52
664,baron van swiet,246,m,61
664,constanze mozar,1406,f,22
664,count orsini-ro,303,m,54
664,count von strac,155,m,52
664,emanuel schikan,702,m,35
664,emperor joseph ,946,m,38
664,father vogler,309,m,31
664,frau schlumberg,107,f,NULL
664,frau weber,175,f,NULL
664,katerina cavali,271,f,31
664,leopold mozart,646,m,61
664,lorl,307,f,18
664,michael schlumb,410,m,52
664,papageno in 'th,154,m,NULL
664,parody commenda,107,m,50
664,salieri's valet,149,m,36
664,wolfgang amadeu,3826,m,31
665,2-star general,144,m,NULL
665,ana,220,f,NULL
665,charlie william,115,m,60
665,detective trupo,377,m,39
665,frank lucas,2480,m,53
665,freddie spearma,140,m,48
665,huey lucas,529,m,30
665,jackie,132,f,NULL
665,javier j. river,392,m,39
665,jimmy zee,115,m,NULL
665,laurie roberts,190,f,36
665,lou toback,318,m,50
665,mama lucas,173,f,85
665,moses jones,103,m,38
665,mp,168,m,40
665,nate,175,m,48
665,richie roberts,2217,m,43
665,sheila,224,f,NULL
665,tango,140,m,35
665,teddy,204,m,NULL
665,tony,261,m,NULL
665,us attorney,222,m,45
666,bob falfa,248,m,31
666,budda,226,f,22
666,carlos,131,m,18
666,carol,729,f,14
666,curt,1240,m,26
666,debbie,735,f,26
666,disc jockey,622,m,35
666,girl,109,f,NULL
666,joe,559,m,35
666,john,1472,m,28
666,laurie,642,f,26
666,manager,333,m,NULL
666,mr. wolfe,157,m,31
666,steve,889,m,19
666,terry,1604,m,20
666,wendy,178,f,NULL
674,chess player,221,m,47
674,david kessler,2295,m,30
674,dr. j. s. hirsc,1161,m,52
674,inspector villi,220,m,52
674,jack goodman,986,m,26
674,mr. collins,135,m,37
674,nurse alex pric,1024,f,29
674,nurse susan gal,126,f,NULL
674,woman in zoo,148,f,59
676,anastasia,1197,f,36
676,bartok,673,m,33
676,dimitri,944,m,NULL
676,phlegmenkoff,105,f,50
676,rasputin,743,m,59
676,sophie,242,f,49
676,tatiana,604,f,NULL
676,vladimir,643,m,42
678,agent miller,137,m,37
678,anthony bella,170,m,43
678,ben sobel,4922,m,54
678,coyote,105,m,54
678,ducks,103,m,NULL
678,eddie devol,233,m,NULL
678,jelly,653,m,65
678,laura sobel,759,f,39
678,masiello,280,m,73
678,michael sobel,125,m,19
678,paul vitti,4327,m,59
678,raoul berman,394,m,38
678,richard chapin,450,m,50
678,rigazzi gunman,184,m,NULL
682,allison,141,f,25
682,alvy singer,7661,m,42
682,annie hall,3719,f,31
682,doctor,135,m,56
682,man in theatre ,267,m,36
682,mom hall,110,f,53
682,rob,567,m,38
682,robin,172,f,34
682,tony lacey,364,m,36
697,admiral crawfor,193,m,57
697,agnieska,263,f,41
697,amos,1799,m,54
697,carl mickens - ,260,m,62
697,carla,564,f,32
697,frank,125,m,NULL
697,jack shaw,3484,m,62
697,koj,129,m,37
697,lt. cmdr. annib,2987,m,38
697,maura ramirez,314,f,NULL
698,alotta fagina,170,f,33
698,austin powers,2298,m,34
698,basil expositio,773,m,55
698,frau farbissina,223,f,44
698,mrs. kensington,211,f,41
698,mustafa,168,m,30
698,number two,202,m,67
698,scott evil,338,m,23
698,therapist,118,f,41
698,vanessa kensing,992,f,32
699,austin powers,2353,m,36
699,basil expositio,432,m,57
699,felicity shagwe,940,f,29
699,number two,359,m,69
699,scott evil,246,m,25
699,the president,104,m,41
701,anna,496,f,27
701,anna's father,298,m,NULL
701,carabiniere,134,m,NULL
701,claudia,1721,f,29
701,corrado,612,m,NULL
701,ettore,276,m,NULL
701,father,122,m,NULL
701,girl,128,f,NULL
701,giulia,467,f,33
701,husband,153,m,NULL
701,lieutenant,310,m,NULL
701,man's voice,103,m,NULL
701,marshal,277,m,NULL
701,midwife,142,f,NULL
701,old man,139,m,NULL
701,patrizia,756,f,32
701,raimondo,165,m,37
701,sailor,275,m,NULL
701,sandro,1724,m,35
701,the princess,195,f,NULL
701,zuria - journal,290,m,55
706,anthony,191,m,28
706,dr. kaufman,762,m,45
706,dr. malcolm say,4998,m,39
706,fernando,112,m,NULL
706,hector,228,m,NULL
706,hospital direct,217,m,NULL
706,leonard lowe,2469,m,47
706,lucy,189,f,62
706,miss costello,546,f,NULL
706,mrs. lowe,725,f,85
706,neurochemist,176,m,37
706,nurse margaret,315,f,49
706,old doctor,350,m,NULL
706,paula,509,f,26
706,rose,133,f,64
707,bobbi,123,f,23
707,chulo,283,m,NULL
707,cole whittier,646,m,NULL
707,debbie thompson,519,f,23
707,dr. stan gassko,311,m,36
707,ed thompson,519,m,56
707,father falwell,116,m,NULL
707,gary,334,m,34
707,ilene,169,f,33
707,jay o'neill,719,m,30
707,larry,210,m,NULL
707,mrs. thompson,144,f,54
707,parkview hotel ,173,m,43
707,rajah,119,m,43
707,ryko,236,m,30
708,captain howard,653,m,44
708,casper,116,m,28
708,detective sanch,126,m,40
708,eddie dominguez,185,m,30
708,fouchet,711,m,42
708,francine,238,f,42
708,jojo,120,m,29
708,julie mott,1990,f,29
708,marcus burnett,3955,m,30
708,max logan,215,f,NULL
708,mike lowrey,2906,m,27
708,theresa burnett,568,f,31
708,woman at boxing,122,f,NULL
712,ariane,376,f,NULL
712,beat cop,107,m,58
712,lite,204,m,NULL
712,priest,145,m,54
712,the lieutenant,2616,m,53
712,the nun,846,f,28
714,dot,106,f,27
714,honeycutt,455,m,NULL
714,jukka laks,111,m,NULL
714,junebug,352,m,59
714,mantan,1396,m,27
714,mau mau: big bl,562,m,27
714,myrna goldfarb,205,f,32
714,orchid dothan,275,f,57
714,pierre delacroi,4179,m,40
714,Sleep'n Eat,332,m,37
714,sloan hopkins,1249,f,29
714,thomas dunwitty,1675,m,30
714,womack,570,m,37
715,audrey taylor,505,f,36
715,barton fink,3418,m,34
715,ben geisler,573,m,38
715,charlie meadows,2130,m,39
715,detective deuts,210,m,48
715,detective mastr,296,m,44
715,garland stanfor,321,m,57
715,jack lipnick,1626,m,50
715,lou breeze,131,m,41
715,mailman,166,m,NULL
715,w.p. mayhew,524,m,51
716,barry's mother,480,f,57
716,brookside,379,m,NULL
716,captain best,263,m,NULL
716,captain galgens,785,m,NULL
716,captain grogan,952,m,52
716,captain o'reill,380,m,NULL
716,countess,929,f,NULL
716,dorothy,433,f,NULL
716,harry,335,m,NULL
716,michael,128,m,NULL
716,minister galgen,184,m,NULL
716,mrs. o'reilly,243,f,NULL
716,narrator,259,m,64
716,newcombe,372,m,NULL
716,patrick,178,m,NULL
716,roderick,12487,m,NULL
716,sir william,592,m,NULL
716,the chevalier d,1020,m,53
716,uncle,194,m,NULL
718,andrews,207,m,36
718,catherine trame,1851,f,34
718,detective,131,m,33
718,detective nick ,2372,m,48
718,dr. beth garner,829,f,29
718,dr. lamott,171,m,41
718,gus,1140,m,47
718,harrigan,130,m,27
718,Lieutenant Walk,720,m,53
722,alfred pennywor,448,m,76
722,bruce wayne,956,m,41
722,commissioner ja,211,m,68
722,ice princess,111,f,28
722,max shreck,1116,m,49
722,penguin,3113,m,48
722,selina kyle,1077,f,34
722,the mayor,434,m,54
725,alexander knox,895,m,38
725,bruce wayne,793,m,38
725,carl grissom,154,m,70
725,harvey dent,188,m,52
725,joker,585,m,52
725,vicki vale,1136,f,36
726,bugs,217,m,34
726,christo,210,m,36
726,daffy,210,m,39
726,�tienne,680,m,27
726,fran�oise,686,f,24
726,keaty,707,m,36
726,richard,6394,m,26
726,sal,919,f,40
726,sammy,126,m,21
726,zeph,660,m,22
729,atf agent bork,355,m,33
729,atf agent flemm,849,m,77
729,butt-head,1203,m,34
729,dallas grimes,307,f,34
729,martha,212,f,NULL
729,muddy grimes,414,m,41
729,van driessen,157,m,NULL
734,anna,188,f,40
734,beatrice,1106,f,40
734,betsy,762,f,NULL
734,bobby,873,m,NULL
734,boris,103,m,44
734,da cunha,112,m,48
734,dom paulo,1008,m,58
734,francisco,525,m,46
734,gallus,106,m,NULL
734,gasper dias,110,m,39
734,hector,3545,m,43
734,hermas,104,m,37
734,janet,176,f,46
734,leader,157,m,31
734,lucinnius,1073,m,37
734,nun,156,f,NULL
734,officer,139,m,49
734,priest,991,m,35
734,salgado,103,m,51
734,slave,463,m,NULL
734,thalia,292,f,NULL
734,thomas,295,m,NULL
740,amos calloway,411,m,59
740,beamen,127,m,57
740,dr. bennett - s,223,m,76
740,ed bloom - youn,4441,m,32
740,jenny - young,1040,f,37
740,josephine bloom,281,f,28
740,norther winslow,225,m,46
740,ping,161,f,NULL
740,sandra bloom - ,691,f,54
740,will bloom,1526,m,35
744,charlie vincent,767,m,33
744,joyce,404,f,36
744,masahiro,959,m,58
744,nick conklin,2155,m,45
744,ohashi,221,m,60
744,oliver,248,m,43
744,Sato,499,m,39
744,sugai,376,m,60
745,bobby dewitt,119,m,42
745,coroner,206,m,56
745,deputy da ellis,462,m,37
745,det. russ milla,838,m,56
745,dolph bleichert,211,m,NULL
745,dwight 'bucky' ,2695,m,28
745,elizabeth short,364,f,31
745,emmett linscott,370,m,NULL
745,harry sears,185,m,NULL
745,jane chambers,371,f,NULL
745,johnny,139,m,NULL
745,kay lake,676,f,22
745,lee blanchard,862,m,38
745,linda martin,130,f,NULL
745,madeleine linsc,925,f,32
745,marjorie,175,f,NULL
745,old man,106,m,NULL
745,ramona linscott,230,f,48
745,red manley,117,m,NULL
745,sally,187,f,NULL
745,sheryl saddon,109,f,33
745,vogel,320,m,NULL
745,voice over,1617,m,NULL
757,cardenas,1570,m,NULL
757,charles biggs,394,m,41
757,detective reese,151,m,37
757,dr. mccurdy,277,m,50
757,dr. paley,187,m,NULL
757,ester,110,f,NULL
757,frank dulaney,3842,m,38
757,jeffrey roston,423,m,55
757,joanne braslow,664,f,46
757,judge burnham,402,f,46
757,miss sellers,207,f,NULL
757,rebecca carlson,1657,f,35
757,sattler,199,m,NULL
757,sharon dulaney,471,f,33
757,troxell,157,m,NULL
759,devaney,1085,m,58
759,fletcher,340,m,NULL
759,frank farmer,3828,m,37
759,henry,304,m,NULL
759,herb farmer,512,m,64
759,minella,121,m,34
759,nicki,693,f,38
759,portman,404,m,37
759,rachel marron,4393,f,29
759,ray court,230,m,51
759,sy spector,1318,m,33
759,thuringer,143,m,45
759,tom winston,142,m,35
759,tony,416,m,42
761,albert fox,432,m,69
761,arthur ruskin,445,m,63
761,caroline heftsh,279,f,31
761,det. goldberg,336,m,NULL
761,det. martin,456,m,53
761,ed rifkin,161,m,57
761,gene lopwitz,113,m,73
761,jed kramer,792,m,42
761,judge leonard w,192,m,53
761,judy mccoy,800,f,34
761,maria ruskin,1592,f,33
761,peter fallow,2103,m,35
761,pollard brownin,211,m,37
761,rawlie thorpe,118,m,40
761,ray andruitti,328,m,45
761,reverend bacon,741,m,49
761,sally rawthrote,173,f,65
761,sherman mccoy,3291,m,34
761,sir gerald moor,225,m,59
761,tom killian,644,m,34
761,weiss' aide,781,m,NULL
768,bobby,394,m,34
768,dawn,118,f,58
768,jimmy,176,m,NULL
768,kitty hurley,184,f,58
768,lorraine,149,f,NULL
768,milo boyd,3285,m,41
768,nicole hurley,2017,f,41
768,sid,546,m,48
768,stewart,166,m,35
771,argyle wallace,214,m,49
771,campbell,186,m,47
771,craig,391,m,NULL
771,hamish,277,m,40
771,longshanks - ki,532,m,67
771,magistrate,240,m,57
771,malcolm wallace,1556,m,41
771,mornay,119,m,49
771,nicolette,152,f,29
771,princess isabel,872,f,29
771,robert the bruc,478,m,32
771,stephen,219,m,30
771,the leper,169,m,67
771,young william,492,m,12
774,arrest official,287,m,35
774,harry tuttle,338,m,42
774,harvey lime,191,m,NULL
774,jack lint,1012,m,42
774,jill layton,550,f,27
774,m.o.i. lobby po,106,m,44
774,mother,330,f,NULL
774,mr. helpmann,527,m,62
774,mr. kurtzmann,432,m,54
774,mr. warrenn,365,m,51
774,mrs terrain,274,f,NULL
774,sam lowry,2873,m,38
774,spiro,126,m,50
774,spoor,222,m,43
776,captain barney,244,m,55
776,cy coates,468,m,31
776,dispatcher,155,m,57
776,dispatcher love,125,f,29
776,dr. hazmat,604,m,44
776,frank pierce,2862,m,35
776,larry,503,m,47
776,marcus,750,m,40
776,mary burke,1369,f,31
776,noel,213,m,31
776,nurse constance,217,f,51
779,capt. riley hal,2685,m,27
779,"chairman, joint",154,m,56
779,chief sam rhode,152,m,40
779,colonel max wil,529,m,44
779,giles prentice,332,m,33
779,kelly,215,m,36
779,maj. vic 'deak',2388,m,42
779,pritchett,202,m,51
779,secretary of de,291,m,53
779,terry carmichae,1412,f,26
781,ally loman,211,f,51
781,bobby,412,m,NULL
781,bruce nolan,6782,m,41
781,debbie,468,f,40
781,evan baxter,439,m,41
781,god,1168,m,66
781,grace connelly,2346,f,34
781,jack baylor,667,m,72
781,phil sidleman,116,m,46
781,susan ortega,400,f,35
785,chad feldheimer,918,m,45
785,divorce lawyer,162,m,NULL
785,doctor,257,m,NULL
785,gardner chubb,243,m,NULL
785,harry pfarrer,1586,m,47
785,katie cox,517,f,48
785,krapotkin,102,m,53
785,linda litzke,1776,f,51
785,osborne cox,1450,m,55
785,palmer,473,m,NULL
785,sandy pfarrer,178,f,39
785,ted,522,m,61
785,tuchman marsh m,114,m,38
789,bettina peterso,148,f,35
789,chuck noland,4034,m,44
789,doctor,236,m,NULL
789,kelly frears,563,f,37
789,mom,156,f,NULL
789,roger,121,m,NULL
789,stan,565,m,41
790,angel,122,m,NULL
790,drina,176,f,21
790,edna,1389,f,NULL
790,george hedare,1001,m,46
790,laurel hedare,1512,f,46
790,patience philli,3018,f,38
790,sally,580,f,31
790,tom lone,1657,m,41
790,wesley,116,m,NULL
790,xavier,204,m,NULL
793,attractive woma,110,f,NULL
793,british asshole,112,m,NULL
793,chad,238,m,27
793,chloe,261,f,22
793,craig martin,432,m,46
793,deason,119,m,NULL
793,detective tomli,122,m,NULL
793,ellis,223,m,NULL
793,greek,309,m,NULL
793,greer,988,m,NULL
793,jessica martin,763,f,51
793,marilyn mooney,929,f,52
793,ryan,4279,m,23
793,simon cowell,288,m,NULL
793,tomlin,468,m,NULL
795,ben harris,212,m,NULL
795,captain j.j. jo,1596,m,40
795,carol dexter,450,f,40
795,chairman thorpe,281,m,43
795,chief james e. ,663,m,50
795,christine colli,3444,f,33
795,david clay,365,m,13
795,detective leste,879,m,39
795,dr. earl w. tar,601,m,68
795,dr. john montgo,123,m,40
795,dr. jonathan st,476,m,46
795,gordon northcot,756,m,38
795,judge,192,m,59
795,mayor cryer,255,m,54
795,mrs. fox,108,f,NULL
795,nurse,175,f,NULL
795,reporter,119,m,25
795,rev. gustav bri,1116,m,55
795,s.s. hahn,662,m,59
795,sanford clark,464,m,14
795,walter collins,135,m,NULL
805,bill,644,m,NULL
805,christian,1279,f,22
805,craigie,458,m,NULL
805,hoban,280,m,51
805,lady fingers,526,f,59
805,lancey howard,1502,m,72
805,melba,882,f,24
805,pig,137,m,41
805,shooter,1582,m,53
805,sokal,129,m,47
805,the cincinnati ,2849,m,35
805,yeller,181,m,58
806,arthur rose,1428,m,47
806,buster,204,m,17
806,candy kendall,1101,f,24
806,dr. wilbur larc,2202,m,66
806,fuzzy,113,m,8
806,homer wells,2368,m,24
806,lt. wally worth,653,m,30
806,major winslow,175,m,NULL
806,mary agnes,115,f,15
806,mrs. goodhall,104,f,67
806,muddy,305,m,34
806,nurse angela,349,f,49
806,nurse edna,438,f,60
806,olive worthingt,232,f,49
806,peaches,191,m,32
806,ray kendall,116,m,44
806,rose rose,350,f,28
808,city editor,131,m,63
808,emily monroe no,583,f,25
808,herbert carter,300,m,56
808,jedediah leland,1884,m,36
808,jerry thompson,739,m,25
808,kane,4656,m,26
808,mr. bernstein,1650,m,32
808,mr. rawlston,275,m,37
808,raymond,365,m,33
808,reilly,208,m,NULL
808,rogers,543,m,NULL
808,susan alexander,1657,f,28
808,the president,115,m,NULL
808,walter parks th,581,m,38
809,aloka,428,f,NULL
809,anouar,341,m,39
809,ashok ghatak,628,m,40
809,ashoka,764,m,NULL
809,betsy,336,f,NULL
809,gangooly - con ,581,m,NULL
809,hasari's mother,2739,f,NULL
809,joan bethel,1317,f,52
809,manooj h. pal,304,m,NULL
809,max lowe,4756,m,40
809,poomina,167,f,NULL
809,ram chander,867,m,NULL
809,ravi,139,f,NULL
809,schoolgirl,152,f,NULL
809,shambu h. pal,198,m,NULL
809,veejay,163,m,NULL
811,commander kates,234,m,60
811,det. brennan,163,m,NULL
811,det. cragie,314,m,57
811,det. dorato,423,m,41
811,det. music,167,m,NULL
811,diana luna,155,f,24
811,eddie cusack,897,m,45
811,felix scalese,140,m,68
811,luis comacho,419,m,57
811,partida,257,f,NULL
811,ted pirelli,191,m,50
813,al stump,5137,m,43
813,bill,130,m,NULL
813,louis prima,216,m,45
813,mud,105,m,53
813,ramona,605,f,33
813,ty cobb,6706,m,48
813,willie,350,m,59
814,bellhop,121,m,NULL
814,chuck barris,4038,m,34
814,jim byrd,337,m,41
814,keeler,253,m,58
814,larry goldberg,121,m,65
814,loretta,107,f,33
814,patricia watson,395,f,35
814,penny,1128,f,27
814,picard,159,m,NULL
814,pretty woman,133,f,31
814,simon oliver,424,m,58
814,"tuvia, age 8",106,f,11
815,dray,137,m,38
815,felix ramirez,439,m,38
815,gordy brewer,1182,m,55
815,joe phipps,495,m,51
815,mike,202,m,NULL
815,orosco,271,m,NULL
815,peter brandt,448,m,41
815,sean armstrong,607,m,45
815,selena perrini,470,f,38
815,the wolf,164,m,NULL
815,updegraf,277,m,NULL
818,angela dodson,1985,f,35
818,balthazar,228,m,40
818,beeman,303,m,NULL
818,chas kramer,360,m,19
818,corridor - john,136,m,NULL
818,detective weiss,328,m,NULL
818,ellie,457,f,29
818,father hennessy,461,m,45
818,gabriel,488,f,45
818,john constantin,3860,m,41
818,man,159,m,NULL
818,midnite,687,m,41
818,satan,262,m,52
821,chairman of joi,199,m,60
821,david drumlin,1402,m,64
821,ellie,4870,f,35
821,hadden suit,752,m,NULL
821,jean-claude,244,m,NULL
821,kent,285,m,41
821,kob-tv reporter,263,m,NULL
821,lunacharsky,112,m,NULL
821,michael kitz,643,m,50
821,palmer joss,1487,m,28
821,peter,804,m,NULL
821,project officia,117,m,61
821,ted arroway,568,m,44
822,anthony fait,2273,m,33
822,archie,983,m,44
822,chambers's club,510,m,40
822,charles,370,m,NULL
822,daria,500,f,31
822,douglas,152,m,NULL
822,ling,530,m,39
822,miles,249,m,24
822,odion,173,m,41
822,russell,203,m,NULL
822,sona,273,f,35
822,su,915,m,40
822,tommy,839,m,33
822,vanessa,230,f,11
830,agent hadley,873,m,NULL
830,bastaldi,362,m,61
830,bonanno,322,m,NULL
830,daniel foray,1242,m,55
830,ellwood,116,m,NULL
830,frankie zammeti,1157,m,64
830,julien labesse,575,m,43
830,lamar,379,m,NULL
830,marcel burot,582,m,60
830,raphael,204,m,NULL
830,raymond gayet,731,m,NULL
830,sami,1446,m,30
830,sophie nicols,408,f,25
830,vinny,102,m,NULL
830,wayne,154,m,28
830,zero,237,m,51
832,ashe corven,972,m,32
832,curve,406,m,49
832,judah earl,641,m,34
832,sarah,617,f,21
832,sibyl,206,f,NULL
844,chico,184,m,NULL
844,gasparilla,652,m,NULL
844,john,1416,m,38
844,logan,369,m,53
844,lukey,136,m,NULL
844,mary,592,f,NULL
844,miguel,251,m,NULL
844,rhodes,1049,m,36
844,sarah,456,f,31
844,toby,857,m,NULL
844,tony,125,m,NULL
846,ada doork,229,f,40
846,adolf,139,m,27
846,captain curt ru,175,m,54
846,colonel bestler,512,m,54
846,franz,147,m,26
846,galt,484,m,49
846,guard,901,m,33
846,helmut doork,3449,m,46
846,johann keltner,968,m,52
846,ludwig,207,m,35
846,reicher,243,m,NULL
846,scharff,440,m,NULL
846,sergeant hoffma,127,m,NULL
846,uhlmann,187,m,NULL
848,abby,3536,f,29
848,benson,634,m,NULL
848,bill,6687,m,29
848,chuck,2035,m,NULL
848,sam,109,m,NULL
848,ursula,659,f,NULL
849,barnhardt,551,m,NULL
849,bobby,737,m,NULL
849,colonel,212,m,NULL
849,general,198,m,NULL
849,harley,500,m,NULL
849,helen,947,f,NULL
849,hilda,158,m,NULL
849,klaatu,2291,m,NULL
849,lieutenant,169,m,NULL
849,mrs. crockett,157,m,NULL
849,tom,479,m,NULL
850,angelo pike,222,m,38
850,burke bennett,1044,m,58
850,marion frank st,621,m,40
850,merv green,300,m,48
850,nora wells,1378,f,43
850,rainbow randolp,2164,m,51
850,sheldon mopes,2799,m,33
850,spinner dunn,225,m,42
850,tommy cotter,432,f,54
851,jonathan mcquar,5875,m,37
851,male voice,172,m,NULL
851,peterson,207,m,NULL
851,receptionist,138,f,NULL
851,s,617,f,28
851,spanish bank te,111,f,NULL
851,the blonde,106,f,NULL
851,wyatt bose,1311,m,40
852,barbosa,539,m,51
852,belinda,259,f,28
852,cal tech,176,m,22
852,carver,1023,m,39
852,eddie,313,m,33
852,elias,1844,m,NULL
852,gallegos,172,m,NULL
852,gopher,241,m,70
852,hernandez,126,m,37
852,john hull,2062,m,31
852,mccutcheon,550,f,NULL
852,taft,355,m,53
852,young russell s,207,m,NULL
853,albert,354,m,NULL
853,angela,108,f,36
853,armand,204,m,NULL
853,colonel,170,m,NULL
853,john,179,m,33
853,linda,476,f,29
853,merle,1065,m,NULL
853,nick,1720,m,35
853,sal,383,m,NULL
853,vince,978,m,NULL
853,wedding man,139,m,36
855,arkady lubczans,199,m,NULL
855,aron bielski,128,m,16
855,asael bielski,864,m,22
855,belarussian pol,197,m,57
855,bella,418,f,37
855,ben zion gulkow,175,m,53
855,chaya dzienciel,120,f,19
855,isaac malbin,498,m,37
855,jacov,113,m,NULL
855,konstanty 'kosc,166,m,52
855,lilka ticktin,460,f,26
855,lova volkin,123,m,46
855,miriam,111,f,NULL
855,riva reich,229,f,NULL
855,shimon haretz,865,m,58
855,tamara skidelsk,183,f,33
855,tuvia bielski,3424,m,40
855,viktor panchenk,408,m,46
855,yitzhak shulman,256,m,33
855,zus bielski,2012,m,41
861,buggin' out,575,m,31
861,charlie,107,m,50
861,da mayor,700,m,72
861,jade,388,f,27
861,ml,298,m,51
861,mookie,1158,m,32
861,mother sister,325,f,67
861,pino,567,m,32
861,radio raheem,259,m,36
861,salvatore 'sal',853,m,56
861,sweet dick will,137,m,36
861,tina,357,f,25
861,vito,196,m,35
863,ashley,1164,f,23
863,detective parke,238,f,42
863,julie,535,f,40
863,kale,2753,m,21
863,mr. turner,731,m,54
863,ronnie,926,m,28
864,heidi,703,f,NULL
864,jenny,131,f,23
864,leon,997,m,33
864,moretti,1107,m,52
864,mulvaney,709,m,52
864,sal,459,m,40
864,sonny,4962,m,35
864,sylvia,458,f,NULL
864,tv newsman,162,m,NULL
866,berger,195,f,NULL
866,boobie,318,m,NULL
866,bursey,245,m,NULL
866,calvino,182,m,NULL
866,donnie,3637,m,34
866,hogue,382,m,NULL
866,joe,291,m,NULL
866,jules,577,m,NULL
866,lebow,364,m,NULL
866,lefty,3778,m,57
866,maggie,1316,f,28
866,marshall,133,m,NULL
866,nicky,700,m,48
866,sonny,1137,m,39
866,terry,209,f,NULL
868,brother jacopus,248,m,37
868,galen,1335,m,27
868,greil,551,m,53
868,hodge,433,m,72
