name,born,died,bornCountry_original,bornCountry_now,bornCity_original,bornCity_now,bornLocation,bornLong,bornLat,bornCoordinates,diedCountry_original,diedCountry_now,diedCity_original,diedCity_now,diedLocation,diedLong,diedLat,diedCoordinates,gender,year,category,motivation,institutionName,institutionCity,institutionCountry
J. Hans D. Jensen,1907-06-25,1973-02-11,Germany,Germany,Hamburg,Hamburg,"Hamburg, Germany",9.9936819,53.5510846,"53.5510846, 9.9936819",West Germany (now Germany),Germany,Heidelberg,Heidelberg,"Heidelberg, Germany",8.6724335,49.3987524,"49.3987524, 8.6724335",male,1963,physics,"""for their discoveries concerning nuclear shell structure""",University of Heidelberg,Heidelberg,Federal Republic of Germany
Heinrich Otto Wieland,1877-06-04,1957-08-05,Germany,Germany,Pforzheim,Pforzheim,"Pforzheim, Germany",8.6946286,48.8921862,"48.8921862, 8.6946286",West Germany (now Germany),Germany,Munich,Munich,"Munich, Germany",11.5819805,48.1351253,"48.1351253, 11.5819805",male,1927,chemistry,"""for his investigations of the constitution of the bile acids and related substances""",Munich University,Munich,Germany
Adolf Otto Reinhold Windaus,1876-12-25,1959-06-09,Germany,Germany,Berlin,Berlin,"Berlin, Germany",13.404954,52.5200066,"52.5200066, 13.404954",West Germany (now Germany),Germany,Göttingen,Göttingen,"Göttingen, Germany",9.9158035,51.5412804,"51.5412804, 9.9158035",male,1928,chemistry,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Goettingen University,Göttingen,Germany
Otto Hahn,1879-03-08,1968-07-28,Germany,Germany,Frankfurt-on-the-Main,Frankfurt-on-the-Main,"Frankfurt-on-the-Main, Germany",8.6821267,50.1109221,"50.1109221, 8.6821267",West Germany (now Germany),Germany,Göttingen,Göttingen,"Göttingen, Germany",9.9158035,51.5412804,"51.5412804, 9.9158035",male,1944,chemistry,"""for his discovery of the fission of heavy nuclei""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany
Otto Paul Hermann Diels,1876-01-23,1954-03-07,Germany,Germany,Hamburg,Hamburg,"Hamburg, Germany",9.9936819,53.5510846,"53.5510846, 9.9936819",West Germany (now Germany),Germany,Kiel,Kiel,"Kiel, Germany",10.1227651,54.3232927,"54.3232927, 10.1227651",male,1950,chemistry,"""for their discovery and development of the diene synthesis""",Kiel University,Kiel,Federal Republic of Germany
Hermann Staudinger,1881-03-23,1965-09-08,Germany,Germany,Worms,Worms,"Worms, Germany",8.3507182,49.6341372,"49.6341372, 8.3507182",West Germany (now Germany),Germany,Freiburg im Breisgau,Freiburg im Breisgau,"Freiburg im Breisgau, Germany",7.8421043,47.9990077,"47.9990077, 7.8421043",male,1953,chemistry,"""for his discoveries in the field of macromolecular chemistry""",University of Freiburg,Breisgau,Federal Republic of Germany
Hermann Staudinger,1881-03-23,1965-09-08,Germany,Germany,Worms,Worms,"Worms, Germany",8.3507182,49.6341372,"49.6341372, 8.3507182",West Germany (now Germany),Germany,Freiburg im Breisgau,Freiburg im Breisgau,"Freiburg im Breisgau, Germany",7.8421043,47.9990077,"47.9990077, 7.8421043",male,1953,chemistry,"""for his discoveries in the field of macromolecular chemistry""","Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany
Karl Ziegler,1898-11-26,1973-08-12,Germany,Germany,Helsa,Helsa,"Helsa, Germany",9.6863827,51.2573397,"51.2573397, 9.6863827",West Germany (now Germany),Germany,Mülheim,Mülheim,"Mülheim, Germany",6.8845226,51.4185682,"51.4185682, 6.8845226",male,1963,chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany
Georg Wittig,1897-06-16,1987-08-26,Germany,Germany,Berlin,Berlin,"Berlin, Germany",13.404954,52.5200066,"52.5200066, 13.404954",West Germany (now Germany),Germany,Heidelberg,Heidelberg,"Heidelberg, Germany",8.6724335,49.3987524,"49.3987524, 8.6724335",male,1979,chemistry,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",University of Heidelberg,Heidelberg,Federal Republic of Germany
Otto Heinrich Warburg,1883-10-08,1970-08-01,Germany,Germany,Freiburg im Breisgau,Freiburg im Breisgau,"Freiburg im Breisgau, Germany",7.8421043,47.9990077,"47.9990077, 7.8421043",West Germany (now Germany),Germany,West Berlin,West Berlin,"West Berlin, Germany",13.404954,52.5200066,"52.5200066, 13.404954",male,1931,medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Berlin-Dahlem,Germany
Werner Forssmann,1904-08-29,1979-06-01,Germany,Germany,Berlin,Berlin,"Berlin, Germany",13.404954,52.5200066,"52.5200066, 13.404954",West Germany (now Germany),Germany,Schopfheim,Schopfheim,"Schopfheim, Germany",7.8235713,47.6518603,"47.6518603, 7.8235713",male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Mainz University,Mainz,Federal Republic of Germany
Werner Forssmann,1904-08-29,1979-06-01,Germany,Germany,Berlin,Berlin,"Berlin, Germany",13.404954,52.5200066,"52.5200066, 13.404954",West Germany (now Germany),Germany,Schopfheim,Schopfheim,"Schopfheim, Germany",7.8235713,47.6518603,"47.6518603, 7.8235713",male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",,Bad Kreuznach,Federal Republic of Germany
Heinrich Böll,1917-12-21,1985-07-16,Germany,Germany,Cologne,Cologne,"Cologne, Germany",6.9602786,50.937531,"50.937531, 6.9602786",West Germany (now Germany),Germany,Bornheim-Merten,Bornheim-Merten,"Bornheim-Merten, Germany",6.9219593,50.7771674,"50.7771674, 6.9219593",male,1972,literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",,,
Karl von Frisch,1886-11-20,1982-06-12,Austria,Austria,Vienna,Vienna,"Vienna, Austria",16.3738189,48.2081743,"48.2081743, 16.3738189",West Germany (now Germany),Germany,Munich,Munich,"Munich, Germany",11.5819805,48.1351253,"48.1351253, 11.5819805",male,1973,medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Zoologisches Institut der Universität München,Munich,Federal Republic of Germany
Otto Stern,1888-02-17,1969-08-17,Germany (now Poland),Poland,Sorau (now Zory),Zory,"Zory, Poland",18.7006401,50.0447236,"50.0447236, 18.7006401",USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA, USA",-122.272747,37.8715926,"37.8715926, -122.272747",male,1943,physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",Carnegie Institute of Technology,"Pittsburgh, PA",USA
Aung San Suu Kyi,1945-06-19,0000-00-00,Burma (now Myanmar),Myanmar,Rangoon (now Yangon),Yangon,"Yangon, Myanmar",,,,,,,,,,,,female,1991,peace,"""for her non-violent struggle for democracy and human rights""",,,
Fritz Haber,1868-12-09,1934-01-29,Prussia (now Poland),Poland,Breslau (now Wroclaw),Wroclaw,"Wroclaw, Poland",17.0385376,51.1078852,"51.1078852, 17.0385376",Switzerland,Switzerland,Basel,Basel,"Basel, Switzerland",7.5885761,47.5595986,"47.5595986, 7.5885761",male,1918,chemistry,"""for the synthesis of ammonia from its elements""",Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany
Reinhard Selten,1930-10-05,2016-08-23,Germany (now Poland),Poland,Breslau (now Wroclaw),Wroclaw,"Wroclaw, Poland",17.0385376,51.1078852,"51.1078852, 17.0385376",Poland,Poland,Poznan,Poznan,"Poznan, Poland",16.9251681,52.406374,"52.406374, 16.9251681",male,1994,economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Rheinische Friedrich-Wilhelms-Universität,Bonn,Federal Republic of Germany
Martti Ahtisaari,1937-06-23,0000-00-00,Finland,Finland,Viipuri (now Vyborg),Vyborg,"Vyborg, Finland",28.7571571,60.7139529,"60.7139529, 28.7571571",,,,,,,,,male,2008,peace,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",,,
Andrew V. Schally,1926-11-30,0000-00-00,Poland (now Lithuania),Lithuania,Wilno (now Vilnius),Vilnius,"Vilnius, Lithuania",25.2796514,54.6871555,"54.6871555, 25.2796514",,,,,,,,,male,1977,medicine,"""for their discoveries concerning the peptide hormone production of the brain""",Veterans Administration Hospital,"New Orleans, LA",USA
Albert Abraham Michelson,1852-12-19,1931-05-09,Prussia (now Poland),Poland,Strelno (now Strzelno),Strzelno,"Strzelno, Poland",18.1726601,52.62772,"52.62772, 18.1726601",USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA, USA",-118.1445155,34.1477849,"34.1477849, -118.1445155",male,1907,physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",University of Chicago,"Chicago, IL",USA
Paul Ehrlich,1854-03-14,1915-08-20,Prussia (now Poland),Poland,Strehlen (now Strzelin),Strzelin,"Strzelin, Poland",17.0646124,50.7812167,"50.7812167, 17.0646124",Germany,Germany,Bad Homburg vor der Höhe,Bad Homburg vor der Höhe,"Bad Homburg vor der Höhe, Germany",8.6181618,50.2268308,"50.2268308, 8.6181618",male,1908,medicine,"""in recognition of their work on immunity""",Goettingen University,Göttingen,Germany
Paul Ehrlich,1854-03-14,1915-08-20,Prussia (now Poland),Poland,Strehlen (now Strzelin),Strzelin,"Strzelin, Poland",17.0646124,50.7812167,"50.7812167, 17.0646124",Germany,Germany,Bad Homburg vor der Höhe,Bad Homburg vor der Höhe,"Bad Homburg vor der Höhe, Germany",8.6181618,50.2268308,"50.2268308, 8.6181618",male,1908,medicine,"""in recognition of their work on immunity""",Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,Germany
Hans Albrecht Bethe,1906-07-02,2005-03-06,Germany (now France),France,Strassburg (now Strasbourg),Strasbourg,"Strasbourg, France",7.7521113,48.5734053,"48.5734053, 7.7521113",USA,USA,"Ithaca, NY","Ithaca, NY","Ithaca, NY, USA",-76.5018807,42.4439614,"42.4439614, -76.5018807",male,1967,physics,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",Cornell University,"Ithaca, NY",USA
Mother Teresa,1910-08-26,1997-09-05,Ottoman Empire (now Republic of Macedonia),Republic of Macedonia,Uskup (now Skopje),Skopje,"Skopje, Republic of Macedonia",,,,India,India,Calcutta,Calcutta,"Calcutta, India",,,,female,1979,peace,,,,
Joseph Brodsky,1940-05-24,1996-01-28,USSR (now Russia),Russia,Leningrad (now Saint Petersburg),Saint Petersburg,"Saint Petersburg, Russia",30.3350986,59.9342802,"59.9342802, 30.3350986",USA,USA,"New York, NY","New York, NY","New York, NY, USA",-74.0059728,40.7127753,"40.7127753, -74.0059728",male,1987,literature,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",,,
Wilhelm Conrad Röntgen,1845-03-27,1923-02-10,Prussia (now Germany),Germany,Lennep (now Remscheid),Remscheid,"Remscheid, Germany",7.1896963,51.1787418,"51.1787418, 7.1896963",Germany,Germany,Munich,Munich,"Munich, Germany",11.5819805,48.1351253,"48.1351253, 11.5819805",male,1901,physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Munich University,Munich,Germany
Wilhelm Wien,1864-01-13,1928-08-30,Prussia (now Russia),Russia,Gaffken (now Parusnoye),Parusnoye,"Parusnoye, Russia",142.147781,48.325695,"48.325695, 142.147781",Germany,Germany,Munich,Munich,"Munich, Germany",11.5819805,48.1351253,"48.1351253, 11.5819805",male,1911,physics,"""for his discoveries regarding the laws governing the radiation of heat""",Würzburg University,Würzburg,Germany
Lars Onsager,1903-11-27,1976-10-05,Norway,Norway,Kristiania (now Oslo),Oslo,"Oslo, Norway",10.7522454,59.9138688,"59.9138688, 10.7522454",USA,USA,"Coral Gables, FL","Coral Gables, FL","Coral Gables, FL, USA",-80.2683838,25.72149,"25.72149, -80.2683838",male,1968,chemistry,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",Yale University,"New Haven, CT",USA
Odd Hassel,1897-05-17,1981-05-11,Norway,Norway,Kristiania (now Oslo),Oslo,"Oslo, Norway",10.7522454,59.9138688,"59.9138688, 10.7522454",Norway,Norway,Oslo,Oslo,"Oslo, Norway",10.7522454,59.9138688,"59.9138688, 10.7522454",male,1969,chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",University of Oslo,Oslo,Norway
Fridtjof Nansen,1861-10-10,1930-05-13,Norway,Norway,Kristiania (now Oslo),Oslo,"Oslo, Norway",10.7522454,59.9138688,"59.9138688, 10.7522454",Norway,Norway,Oslo,Oslo,"Oslo, Norway",10.7522454,59.9138688,"59.9138688, 10.7522454",male,1922,peace,,,,
Konrad Bloch,1912-01-21,2000-10-15,Germany (now Poland),Poland,Neisse (now Nysa),Nysa,"Nysa, Poland",17.3295861,50.4822855,"50.4822855, 17.3295861",USA,USA,"Burlington, MA","Burlington, MA","Burlington, MA, USA",-71.1956205,42.5047161,"42.5047161, -71.1956205",male,1964,medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Harvard University,"Cambridge, MA",USA
Selman Abraham Waksman,1888-07-22,1973-08-16,Russian Empire (now Ukraine),Ukraine,Priluka (now Nova Pryluka),Nova Pryluka,"Nova Pryluka, Ukraine",28.6989477,49.3734042,"49.3734042, 28.6989477",USA,USA,"Hyannis, MA","Hyannis, MA","Hyannis, MA, USA",-70.2881124,41.6524911,"41.6524911, -70.2881124",male,1952,medicine,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",Rutgers University,"New Brunswick, NJ",USA
Günter Blobel,1936-05-21,2018-02-18,Germany (now Poland),Poland,Waltersdorf (now Niegoslawice),Niegoslawice,"Niegoslawice, Poland",20.5994117,50.3903249,"50.3903249, 20.5994117",USA,USA,"New York, NY","New York, NY","New York, NY, USA",-74.0059728,40.7127753,"40.7127753, -74.0059728",male,1999,medicine,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Rockefeller University,"New York, NY",USA
Günter Blobel,1936-05-21,2018-02-18,Germany (now Poland),Poland,Waltersdorf (now Niegoslawice),Niegoslawice,"Niegoslawice, Poland",20.5994117,50.3903249,"50.3903249, 20.5994117",USA,USA,"New York, NY","New York, NY","New York, NY, USA",-74.0059728,40.7127753,"40.7127753, -74.0059728",male,1999,medicine,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Howard Hughes Medical Institute,,
Fritz Pregl,1869-09-03,1930-12-13,Austria-Hungary (now Slovenia),Slovenia,Laibach (now Ljubljana),Ljubljana,"Ljubljana, Slovenia",14.5057515,46.0569465,"46.0569465, 14.5057515",Austria,Austria,Graz,Graz,"Graz, Austria",15.439504,47.070714,"47.070714, 15.439504",male,1923,chemistry,"""for his invention of the method of micro-analysis of organic substances""",Graz University,Graz,Austria
Emil Adolf von Behring,1854-03-15,1917-03-31,Prussia (now Poland),Poland,Hansdorf (now Lawice),Lawice,"Lawice, Poland",18.6713802,50.2944923,"50.2944923, 18.6713802",Germany,Germany,Marburg,Marburg,"Marburg, Germany",8.7667933,50.8021728,"50.8021728, 8.7667933",male,1901,medicine,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",Marburg University,Marburg,Germany
Wislawa Szymborska,1923-07-02,2012-02-01,Poland,Poland,Bnin (now Kórnik),Kórnik,"Kórnik, Poland",17.0901297,52.2467738,"52.2467738, 17.0901297",Poland,Poland,Kraków,Kraków,"Kraków, Poland",19.9449799,50.0646501,"50.0646501, 19.9449799",female,1996,literature,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",,,
Ilya Ilyich Mechnikov,1845-05-15,1916-07-15,Russian Empire (now Ukraine),Ukraine,Kharkov (now Kharkiv),Kharkiv,"Kharkiv, Ukraine",36.230383,49.9935,"49.9935, 36.230383",France,France,Paris,Paris,"Paris, France",2.3522219,48.856614,"48.856614, 2.3522219",male,1908,medicine,"""in recognition of their work on immunity""",Institut Pasteur,Paris,France
Maria Goeppert Mayer,1906-06-28,1972-02-20,Germany (now Poland),Poland,Kattowitz (now Katowice),Katowice,"Katowice, Poland",19.0237815,50.2648919,"50.2648919, 19.0237815",USA,USA,"San Diego, CA","San Diego, CA","San Diego, CA, USA",-117.1610838,32.715738,"32.715738, -117.1610838",female,1963,physics,"""for their discoveries concerning nuclear shell structure""",University of California,"San Diego, CA",USA
Otto Wallach,1847-03-27,1931-02-26,Germany (now Russia),Russia,Koenigsberg (now Kaliningrad),Kaliningrad,"Kaliningrad, Russia",20.4522144,54.7104264,"54.7104264, 20.4522144",Germany,Germany,Göttingen,Göttingen,"Göttingen, Germany",9.9158035,51.5412804,"51.5412804, 9.9158035",male,1910,chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Goettingen University,Göttingen,Germany
Fritz Albert Lipmann,1899-06-12,1986-07-24,Germany (now Russia),Russia,Koenigsberg (now Kaliningrad),Kaliningrad,"Kaliningrad, Russia",20.4522144,54.7104264,"54.7104264, 20.4522144",USA,USA,"Poughkeepsie, NY","Poughkeepsie, NY","Poughkeepsie, NY, USA",-73.9209701,41.7003713,"41.7003713, -73.9209701",male,1953,medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",Harvard Medical School,"Boston, MA",USA
