page,lowercase,pos,count,book,year,story
6,design,NNP,1,Lost in the city : stories /,1993,Front Matter
6,designed,VBN,1,Lost in the city : stories /,1993,Front Matter
6,dorsey,NNP,2,Lost in the city : stories /,1993,Front Matter
6,east,NNP,2,Lost in the city : stories /,1993,Front Matter
6,ed,NNP,1,Lost in the city : stories /,1993,Front Matter
6,edition,NN,2,Lost in the city : stories /,1993,Front Matter
6,educational,JJ,1,Lost in the city : stories /,1993,Front Matter
6,edward,NNP,3,Lost in the city : stories /,1993,Front Matter
6,embodied,VBD,1,Lost in the city : stories /,1993,Front Matter
6,except,IN,1,Lost in the city : stories /,1993,Front Matter
6,f,FW,1,Lost in the city : stories /,1993,Front Matter
6,fall,NN,1,Lost in the city : stories /,1993,Front Matter
6,february-may,NNP,1,Lost in the city : stories /,1993,Front Matter
6,first,NNP,3,Lost in the city : stories /,1993,Front Matter
6,first,RB,3,Lost in the city : stories /,1993,Front Matter
6,following,NN,1,Lost in the city : stories /,1993,Front Matter
6,for,IN,4,Lost in the city : stories /,1993,Front Matter
6,gems-emi,NNP,1,Lost in the city : stories /,1993,Front Matter
6,gerry,NNP,1,Lost in the city : stories /,1993,Front Matter
6,goffin,NNP,1,Lost in the city : stories /,1993,Front Matter
6,grateful,NNP,1,Lost in the city : stories /,1993,Front Matter
6,hardcover,NN,1,Lost in the city : stories /,1993,Front Matter
6,harpercollins,NNP,2,Lost in the city : stories /,1993,Front Matter
6,harpercollins,NNS,1,Lost in the city : stories /,1993,Front Matter
6,harperperennial,NNP,2,Lost in the city : stories /,1993,Front Matter
6,has,VBZ,2,Lost in the city : stories /,1993,Front Matter
6,here,RB,1,Lost in the city : stories /,1993,Front Matter
6,hill,NNP,2,Lost in the city : stories /,1993,Front Matter
6,i,FW,1,Lost in the city : stories /,1993,Front Matter
6,i,PRP,2,Lost in the city : stories /,1993,Front Matter
6,i.,NNP,1,Lost in the city : stories /,1993,Front Matter
6,in,IN,10,Lost in the city : stories /,1993,Front Matter
6,inc.,NNP,9,Lost in the city : stories /,1993,Front Matter
6,information,NN,2,Lost in the city : stories /,1993,Front Matter
6,infringement,NN,2,Lost in the city : stories /,1993,Front Matter
6,infringers,NNS,2,Lost in the city : stories /,1993,Front Matter
6,international,NNP,3,Lost in the city : stories /,1993,Front Matter
6,is,VBZ,4,Lost in the city : stories /,1993,Front Matter
6,isbn,NNP,1,Lost in the city : stories /,1993,Front Matter
6,issue,NN,1,Lost in the city : stories /,1993,Front Matter
6,it,PRP,1,Lost in the city : stories /,1993,Front Matter
6,j,NN,1,Lost in the city : stories /,1993,Front Matter
6,jones,NNP,3,Lost in the city : stories /,1993,Front Matter
6,king,NNP,1,Lost in the city : stories /,1993,Front Matter
6,l,NN,2,Lost in the city : stories /,1993,Front Matter
6,law,NN,2,Lost in the city : stories /,1993,Front Matter
6,liable,JJ,2,Lost in the city : stories /,1993,Front Matter
6,library,NNP,1,Lost in the city : stories /,1993,Front Matter
6,lost,NNP,1,Lost in the city : stories /,1993,Front Matter
6,lost,VBD,1,Lost in the city : stories /,1993,Front Matter
6,love,NNP,1,Lost in the city : stories /,1993,Front Matter
6,made,VBN,1,Lost in the city : stories /,1993,Front Matter
6,manner,NN,1,Lost in the city : stories /,1993,Front Matter
6,marie,NNP,1,Lost in the city : stories /,1993,Front Matter
6,markets,NNP,1,Lost in the city : stories /,1993,Front Matter
6,may,MD,2,Lost in the city : stories /,1993,Front Matter
6,me,NNP,1,Lost in the city : stories /,1993,Front Matter
6,morrow,NNP,2,Lost in the city : stories /,1993,Front Matter
6,music,NN,2,Lost in the city : stories /,1993,Front Matter
6,music,NNP,5,Lost in the city : stories /,1993,Front Matter
6,new,NNP,2,Lost in the city : stories /,1993,Front Matter
6,night,NN,1,Lost in the city : stories /,1993,Front Matter
6,no,DT,1,Lost in the city : stories /,1993,Front Matter
6,no.,RB,1,Lost in the city : stories /,1993,Front Matter
6,nos.,NN,1,Lost in the city : stories /,1993,Front Matter
6,ny,NNP,2,Lost in the city : stories /,1993,Front Matter
6,of,IN,8,Lost in the city : stories /,1993,Front Matter
6,or,CC,4,Lost in the city : stories /,1993,Front Matter
6,p.,NN,1,Lost in the city : stories /,1993,Front Matter
6,p.,NNP,3,Lost in the city : stories /,1993,Front Matter
6,paris,NNP,1,Lost in the city : stories /,1993,Front Matter
6,part,NN,1,Lost in the city : stories /,1993,Front Matter
6,pbk,NN,1,Lost in the city : stories /,1993,Front Matter
6,performance,NN,2,Lost in the city : stories /,1993,Front Matter
6,permission,NN,3,Lost in the city : stories /,1993,Front Matter
6,photographs,NNS,1,Lost in the city : stories /,1993,Front Matter
6,pilgrim,NNP,1,Lost in the city : stories /,1993,Front Matter
6,please,VB,1,Lost in the city : stories /,1993,Front Matter
6,ploughshares,NNP,1,Lost in the city : stories /,1993,Front Matter
6,portions,NNS,1,Lost in the city : stories /,1993,Front Matter
6,printed,NNP,1,Lost in the city : stories /,1993,Front Matter
6,promotional,JJ,1,Lost in the city : stories /,1993,Front Matter
6,ps3560.o4813l67,NN,1,Lost in the city : stories /,1993,Front Matter
6,public,JJ,2,Lost in the city : stories /,1993,Front Matter
6,published,VBN,2,Lost in the city : stories /,1993,Front Matter
6,publisher,NNP,2,Lost in the city : stories /,1993,Front Matter
6,publishers,NNPS,2,Lost in the city : stories /,1993,Front Matter
6,purchased,VBN,1,Lost in the city : stories /,1993,Front Matter
6,quotations,NNS,1,Lost in the city : stories /,1993,Front Matter
6,range,NNP,2,Lost in the city : stories /,1993,Front Matter
6,recording,VBG,2,Lost in the city : stories /,1993,Front Matter
6,renewed,VBN,3,Lost in the city : stories /,1993,Front Matter
6,reprint,VB,1,Lost in the city : stories /,1993,Front Matter
6,reprinted,VBN,1,Lost in the city : stories /,1993,Front Matter
6,reproduced,VBN,1,Lost in the city : stories /,1993,Front Matter
6,reserved,VBN,4,Lost in the city : stories /,1993,Front Matter
6,review,NNP,1,Lost in the city : stories /,1993,Front Matter
6,reviews,NNS,1,Lost in the city : stories /,1993,Front Matter
6,revised,VBN,2,Lost in the city : stories /,1993,Front Matter
6,rights,NNS,4,Lost in the city : stories /,1993,Front Matter
6,rightsong,NNP,2,Lost in the city : stories /,1993,Front Matter
6,rrd,NN,1,Lost in the city : stories /,1993,Front Matter
6,sales,NNS,1,Lost in the city : stories /,1993,Front Matter
6,screen,NN,1,Lost in the city : stories /,1993,Front Matter
6,secured,VBN,3,Lost in the city : stories /,1993,Front Matter
6,songs,NNP,2,Lost in the city : stories /,1993,Front Matter
6,special,JJ,1,Lost in the city : stories /,1993,Front Matter
6,spring,NN,1,Lost in the city : stories /,1993,Front Matter
6,states,NNPS,1,Lost in the city : stories /,1993,Front Matter
6,stephanie,NNP,1,Lost in the city : stories /,1993,Front Matter
6,stories,NNS,1,Lost in the city : stories /,1993,Front Matter
6,stranger,NN,1,Lost in the city : stories /,1993,Front Matter
6,street,NNP,2,Lost in the city : stories /,1993,Front Matter
6,substantially,RB,1,Lost in the city : stories /,1993,Front Matter
6,t,NN,1,Lost in the city : stories /,1993,Front Matter
6,tcvonian,NNP,1,Lost in the city : stories /,1993,Front Matter
6,the,DT,8,Lost in the city : stories /,1993,Front Matter
6,the,NNP,1,Lost in the city : stories /,1993,Front Matter
6,this,DT,2,Lost in the city : stories /,1993,Front Matter
6,thomas,NNP,2,Lost in the city : stories /,1993,Front Matter
6,title,NNP,1,Lost in the city : stories /,1993,Front Matter
6,to,TO,3,Lost in the city : stories /,1993,Front Matter
6,tomorrow,NNP,1,Lost in the city : stories /,1993,Front Matter
6,unauthorized,JJ,2,Lost in the city : stories /,1993,Front Matter
6,under,IN,2,Lost in the city : stories /,1993,Front Matter
6,unichappell,NNP,2,Lost in the city : stories /,1993,Front Matter
6,united,NNP,1,Lost in the city : stories /,1993,Front Matter
6,use,NN,1,Lost in the city : stories /,1993,Front Matter
6,used,VBN,2,Lost in the city : stories /,1993,Front Matter
6,vol,NN,2,Lost in the city : stories /,1993,Front Matter
6,was,VBD,1,Lost in the city : stories /,1993,Front Matter
6,whatsoever,RB,1,Lost in the city : stories /,1993,Front Matter
6,will,MD,1,Lost in the city : stories /,1993,Front Matter
6,william,NNP,2,Lost in the city : stories /,1993,Front Matter
6,with,IN,1,Lost in the city : stories /,1993,Front Matter
6,without,IN,1,Lost in the city : stories /,1993,Front Matter
6,words,NNS,2,Lost in the city : stories /,1993,Front Matter
6,write,VB,1,Lost in the city : stories /,1993,Front Matter
6,written,VBN,1,Lost in the city : stories /,1993,Front Matter
6,york,NNP,2,Lost in the city : stories /,1993,Front Matter
6,you,PRP,1,Lost in the city : stories /,1993,Front Matter
6,~,NN,1,Lost in the city : stories /,1993,Front Matter
6,©,SYM,4,Lost in the city : stories /,1993,Front Matter
6,°,NN,1,Lost in the city : stories /,1993,Front Matter
6,■,CD,1,Lost in the city : stories /,1993,Front Matter
7,",",",",1,Lost in the city : stories /,1993,Front Matter
7,jeanette,NNP,1,Lost in the city : stories /,1993,Front Matter
7,jones,NNP,1,Lost in the city : stories /,1993,Front Matter
7,m.,NNP,1,Lost in the city : stories /,1993,Front Matter
7,memory,NN,1,Lost in the city : stories /,1993,Front Matter
7,mother,NN,1,Lost in the city : stories /,1993,Front Matter
7,my,PRP$,1,Lost in the city : stories /,1993,Front Matter
7,of,IN,1,Lost in the city : stories /,1993,Front Matter
7,s.,NNP,1,Lost in the city : stories /,1993,Front Matter
7,the,DT,1,Lost in the city : stories /,1993,Front Matter
7,to,TO,1,Lost in the city : stories /,1993,Front Matter
9,,',1,Lost in the city : stories /,1993,Front Matter
9,,POS,1,Lost in the city : stories /,1993,Front Matter
9,*,SYM,1,Lost in the city : stories /,1993,Front Matter
9,111,CD,1,Lost in the city : stories /,1993,Front Matter
9,123,CD,1,Lost in the city : stories /,1993,Front Matter
9,147,CD,1,Lost in the city : stories /,1993,Front Matter
9,157,CD,1,Lost in the city : stories /,1993,Front Matter
9,182,CD,1,Lost in the city : stories /,1993,Front Matter
9,189,CD,1,Lost in the city : stories /,1993,Front Matter
9,207,CD,1,Lost in the city : stories /,1993,Front Matter
9,223,CD,1,Lost in the city : stories /,1993,Front Matter
9,235,CD,1,Lost in the city : stories /,1993,Front Matter
9,33,CD,1,Lost in the city : stories /,1993,Front Matter
9,39,CD,1,Lost in the city : stories /,1993,Front Matter
9,61,CD,1,Lost in the city : stories /,1993,Front Matter
9,83,CD,1,Lost in the city : stories /,1993,Front Matter
9,9,CD,1,Lost in the city : stories /,1993,Front Matter
9,\,NN,1,Lost in the city : stories /,1993,Front Matter
9,\,SYM,1,Lost in the city : stories /,1993,Front Matter
9,a,DT,1,Lost in the city : stories /,1993,Front Matter
9,arie,NN,1,Lost in the city : stories /,1993,Front Matter
9,ballston,NNP,1,Lost in the city : stories /,1993,Front Matter
9,butterfly,NN,1,Lost in the city : stories /,1993,Front Matter
9,city,NNP,1,Lost in the city : stories /,1993,Front Matter
9,contents,NNS,1,Lost in the city : stories /,1993,Front Matter
9,dark,JJ,1,Lost in the city : stories /,1993,Front Matter
9,day,NN,1,Lost in the city : stories /,1993,Front Matter
9,day,NNP,1,Lost in the city : stories /,1993,Front Matter
9,f,NN,1,Lost in the city : stories /,1993,Front Matter
9,ferguson,NNP,1,Lost in the city : stories /,1993,Front Matter
9,first,RB,1,Lost in the city : stories /,1993,Front Matter
9,fits,VBZ,1,Lost in the city : stories /,1993,Front Matter
9,following,VBG,1,Lost in the city : stories /,1993,Front Matter
9,girl,NNP,1,Lost in the city : stories /,1993,Front Matter
9,he,PRP,5,Lost in the city : stories /,1993,Front Matter
9,house,NNP,1,Lost in the city : stories /,1993,Front Matter
9,i,PRP,3,Lost in the city : stories /,1993,Front Matter
9,in,IN,1,Lost in the city : stories /,1993,Front Matter
9,killed,VBN,1,Lost in the city : stories /,1993,Front Matter
9,line,NNP,1,Lost in the city : stories /,1993,Front Matter
9,lions,NNS,1,Lost in the city : stories /,1993,Front Matter
9,los,NNP,1,Lost in the city : stories /,1993,Front Matter
9,loung,NN,1,Lost in the city : stories /,1993,Front Matter
9,m,NN,2,Lost in the city : stories /,1993,Front Matter
9,man,NNP,1,Lost in the city : stories /,1993,Front Matter
9,mn,NN,1,Lost in the city : stories /,1993,Front Matter
9,mothers,NNP,1,Lost in the city : stories /,1993,Front Matter
9,mothers,NNS,1,Lost in the city : stories /,1993,Front Matter
9,new,NNP,1,Lost in the city : stories /,1993,Front Matter
9,night,NNP,2,Lost in the city : stories /,1993,Front Matter
9,on,IN,1,Lost in the city : stories /,1993,Front Matter
9,orange,NNP,1,Lost in the city : stories /,1993,Front Matter
9,pigeons,NNPS,1,Lost in the city : stories /,1993,Front Matter
9,raised,VBN,1,Lost in the city : stories /,1993,Front Matter
9,rhonda,NNP,1,Lost in the city : stories /,1993,Front Matter
9,store,NNP,1,Lost in the city : stories /,1993,Front Matter
9,street,NN,1,Lost in the city : stories /,1993,Front Matter
9,sunday,NNP,1,Lost in the city : stories /,1993,Front Matter
9,the,DT,1,Lost in the city : stories /,1993,Front Matter
9,to,TO,1,Lost in the city : stories /,1993,Front Matter
9,train,NN,1,Lost in the city : stories /,1993,Front Matter
9,uospel,NN,1,Lost in the city : stories /,1993,Front Matter
9,was,VBD,1,Lost in the city : stories /,1993,Front Matter
9,who,WP,1,Lost in the city : stories /,1993,Front Matter
9,■,CD,1,Lost in the city : stories /,1993,Front Matter
9,■,NN,5,Lost in the city : stories /,1993,Front Matter
9,■,SYM,5,Lost in the city : stories /,1993,Front Matter
9,■,VBP,1,Lost in the city : stories /,1993,Front Matter
11,,POS,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,s,VBZ,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,",",",",16,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,0,0,6,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,?,0,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,``,``,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,a,DT,5,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,about,IN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,across,IN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,always,RB,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,an,DT,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,ancrgo,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,and,CC,5,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,andltavingalwaytbelieved,NNP,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,any,DT,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,as,IN,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,asking,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,at,IN,3,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,barefoot,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,be,VB,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,begin,VB,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,birds,NNS,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,bkotne,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,breast,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,but,CC,4,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,by,IN,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,called,VBD,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,compulsion,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,conceal,VB,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,concrete,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,conversing,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,coop,NN,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,could,MD,3,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,dark,JJ,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,door,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,dreamed,VBN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,dreams,VBZ,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,drink,NN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,ever,RB,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,father,NN,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,few,JJ,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,flirted,VBN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,forever,RB,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,front,JJ,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,get,VB,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,girl,NN,2,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
11,gone,VBN,1,Lost in the city : stories /,1993,01: The Girl Who Raised Pigeons
