story,lowercase,pos,count
01: The Girl Who Raised Pigeons,completely,RB,2
01: The Girl Who Raised Pigeons,compulsion,NN,1
01: The Girl Who Raised Pigeons,conceal,VB,1
01: The Girl Who Raised Pigeons,concentration,NN,1
01: The Girl Who Raised Pigeons,concrete,NN,1
01: The Girl Who Raised Pigeons,confessed,VBD,1
01: The Girl Who Raised Pigeons,confused,VBN,1
01: The Girl Who Raised Pigeons,considered,VBD,2
01: The Girl Who Raised Pigeons,constructed,VBN,2
01: The Girl Who Raised Pigeons,consume,VB,1
01: The Girl Who Raised Pigeons,contented,JJ,1
01: The Girl Who Raised Pigeons,continued,VBD,3
01: The Girl Who Raised Pigeons,conversations,NNS,1
01: The Girl Who Raised Pigeons,conversing,NN,1
01: The Girl Who Raised Pigeons,convince,VB,1
01: The Girl Who Raised Pigeons,coo-coo,NNP,1
01: The Girl Who Raised Pigeons,cooing,VBG,1
01: The Girl Who Raised Pigeons,cookies,NNS,1
01: The Girl Who Raised Pigeons,coop,NN,28
01: The Girl Who Raised Pigeons,corner,NN,7
01: The Girl Who Raised Pigeons,correcting,VBG,1
01: The Girl Who Raised Pigeons,corridor,NN,1
01: The Girl Who Raised Pigeons,could,MD,29
01: The Girl Who Raised Pigeons,couldtlt,NN,1
01: The Girl Who Raised Pigeons,couple,NN,1
01: The Girl Who Raised Pigeons,course,NN,1
01: The Girl Who Raised Pigeons,cousin,NN,5
01: The Girl Who Raised Pigeons,cover,VB,1
01: The Girl Who Raised Pigeons,covered,VBD,2
01: The Girl Who Raised Pigeons,covered,VBN,2
01: The Girl Who Raised Pigeons,cradle,NN,1
01: The Girl Who Raised Pigeons,crayon,NN,1
01: The Girl Who Raised Pigeons,crazily,RB,1
01: The Girl Who Raised Pigeons,crazy,JJ,1
01: The Girl Who Raised Pigeons,cream-colored,JJ,1
01: The Girl Who Raised Pigeons,create,VB,1
01: The Girl Who Raised Pigeons,creatures,NNS,1
01: The Girl Who Raised Pigeons,creed,NNP,4
01: The Girl Who Raised Pigeons,crib,NN,1
01: The Girl Who Raised Pigeons,cried,VBD,1
01: The Girl Who Raised Pigeons,criminals,NNS,1
01: The Girl Who Raised Pigeons,crispness,NN,1
01: The Girl Who Raised Pigeons,crossed,VBD,2
01: The Girl Who Raised Pigeons,crossed,VBN,1
01: The Girl Who Raised Pigeons,crude,NN,1
01: The Girl Who Raised Pigeons,cry,NN,1
01: The Girl Who Raised Pigeons,cry,VB,5
01: The Girl Who Raised Pigeons,cubicle,NN,2
01: The Girl Who Raised Pigeons,cubicles,NNS,4
01: The Girl Who Raised Pigeons,cup,NN,2
01: The Girl Who Raised Pigeons,curiosity,NN,2
01: The Girl Who Raised Pigeons,cursed,VBD,1
01: The Girl Who Raised Pigeons,curtain,NN,1
01: The Girl Who Raised Pigeons,curtains,NNS,1
01: The Girl Who Raised Pigeons,cut,VBD,2
01: The Girl Who Raised Pigeons,cut-eye,JJ,1
01: The Girl Who Raised Pigeons,da,NN,2
01: The Girl Who Raised Pigeons,daddy,FW,2
01: The Girl Who Raised Pigeons,daddy,NN,3
01: The Girl Who Raised Pigeons,daddy,NNP,3
01: The Girl Who Raised Pigeons,damn,JJ,1
01: The Girl Who Raised Pigeons,damn,RB,1
01: The Girl Who Raised Pigeons,dark,JJ,2
01: The Girl Who Raised Pigeons,darlene,NNP,10
01: The Girl Who Raised Pigeons,daughter,NN,8
01: The Girl Who Raised Pigeons,day,NN,11
01: The Girl Who Raised Pigeons,days,NNS,6
01: The Girl Who Raised Pigeons,dead,JJ,13
01: The Girl Who Raised Pigeons,death,NN,4
01: The Girl Who Raised Pigeons,death1,NN,1
01: The Girl Who Raised Pigeons,decaying,VBG,1
01: The Girl Who Raised Pigeons,decided,VBD,1
01: The Girl Who Raised Pigeons,deep,RB,1
01: The Girl Who Raised Pigeons,deliberate,JJ,1
01: The Girl Who Raised Pigeons,demand,VB,1
01: The Girl Who Raised Pigeons,demanding,VBG,1
01: The Girl Who Raised Pigeons,deny,VB,1
01: The Girl Who Raised Pigeons,department,NNP,1
01: The Girl Who Raised Pigeons,deserved,VBN,1
01: The Girl Who Raised Pigeons,despite,IN,2
01: The Girl Who Raised Pigeons,despoiled,VBD,1
01: The Girl Who Raised Pigeons,detached,VBN,1
01: The Girl Who Raised Pigeons,details,NNS,1
01: The Girl Who Raised Pigeons,devastate,VB,1
01: The Girl Who Raised Pigeons,diaper,NN,1
01: The Girl Who Raised Pigeons,diapers,NNS,2
01: The Girl Who Raised Pigeons,did,VBD,31
01: The Girl Who Raised Pigeons,die,VB,1
01: The Girl Who Raised Pigeons,died,VBD,1
01: The Girl Who Raised Pigeons,died,VBN,1
01: The Girl Who Raised Pigeons,different,JJ,1
01: The Girl Who Raised Pigeons,difficult,JJ,2
01: The Girl Who Raised Pigeons,direction,NN,2
01: The Girl Who Raised Pigeons,dirt,NN,3
01: The Girl Who Raised Pigeons,dirty,JJ,1
01: The Girl Who Raised Pigeons,disappear,VB,1
01: The Girl Who Raised Pigeons,disappeared,VBD,1
01: The Girl Who Raised Pigeons,discarded,VBN,1
01: The Girl Who Raised Pigeons,discovered,VBD,2
01: The Girl Who Raised Pigeons,disease,NN,1
01: The Girl Who Raised Pigeons,diseases,NNS,1
01: The Girl Who Raised Pigeons,dish,NN,1
01: The Girl Who Raised Pigeons,dismantled,VBN,1
01: The Girl Who Raised Pigeons,dispose,VB,1
01: The Girl Who Raised Pigeons,do,VB,8
01: The Girl Who Raised Pigeons,do,VBP,13
01: The Girl Who Raised Pigeons,do-do,NN,1
01: The Girl Who Raised Pigeons,dog,NN,5
01: The Girl Who Raised Pigeons,dogpbosco,NNP,1
01: The Girl Who Raised Pigeons,doin,NN,1
01: The Girl Who Raised Pigeons,doin,VBD,1
01: The Girl Who Raised Pigeons,doing,VBG,5
01: The Girl Who Raised Pigeons,doll,NN,1
01: The Girl Who Raised Pigeons,dolls,NNS,1
01: The Girl Who Raised Pigeons,dominated,VBD,1
01: The Girl Who Raised Pigeons,done,VBN,6
01: The Girl Who Raised Pigeons,doodle,VB,1
01: The Girl Who Raised Pigeons,door,NN,12
01: The Girl Who Raised Pigeons,doors,NNS,2
01: The Girl Who Raised Pigeons,doorway,NN,1
01: The Girl Who Raised Pigeons,double,JJ,2
01: The Girl Who Raised Pigeons,down,IN,5
01: The Girl Who Raised Pigeons,down,RB,7
01: The Girl Who Raised Pigeons,down,RP,11
01: The Girl Who Raised Pigeons,downstairs,RB,3
01: The Girl Who Raised Pigeons,dozens,NNS,1
01: The Girl Who Raised Pigeons,dozing,VBG,1
01: The Girl Who Raised Pigeons,drag,VB,1
01: The Girl Who Raised Pigeons,dragging,VBG,1
01: The Girl Who Raised Pigeons,drank,VBD,1
01: The Girl Who Raised Pigeons,drawer,NN,1
01: The Girl Who Raised Pigeons,dreaded,JJ,1
01: The Girl Who Raised Pigeons,dreamed,VBN,1
01: The Girl Who Raised Pigeons,dreamin,NN,1
01: The Girl Who Raised Pigeons,dreams,VBZ,1
01: The Girl Who Raised Pigeons,dress,NN,1
01: The Girl Who Raised Pigeons,dressed,VBN,1
01: The Girl Who Raised Pigeons,dresser,NN,1
01: The Girl Who Raised Pigeons,drew,VBD,1
01: The Girl Who Raised Pigeons,dried,VBN,1
01: The Girl Who Raised Pigeons,drink,NN,1
01: The Girl Who Raised Pigeons,drink,VB,1
01: The Girl Who Raised Pigeons,drop,VB,1
01: The Girl Who Raised Pigeons,dropped,VBD,2
01: The Girl Who Raised Pigeons,drove,VBD,1
01: The Girl Who Raised Pigeons,drug,NNP,1
01: The Girl Who Raised Pigeons,dug,VBD,1
01: The Girl Who Raised Pigeons,dullwhite,JJ,1
01: The Girl Who Raised Pigeons,dumped,VBD,1
01: The Girl Who Raised Pigeons,during,IN,2
01: The Girl Who Raised Pigeons,dust,NN,1
01: The Girl Who Raised Pigeons,dutch,JJ,1
01: The Girl Who Raised Pigeons,dutifully,RB,1
01: The Girl Who Raised Pigeons,each,DT,9
01: The Girl Who Raised Pigeons,eager,JJ,1
01: The Girl Who Raised Pigeons,ear,NN,1
01: The Girl Who Raised Pigeons,early,JJ,1
01: The Girl Who Raised Pigeons,earshot,NN,1
01: The Girl Who Raised Pigeons,earth,NN,1
01: The Girl Who Raised Pigeons,east,JJ,2
01: The Girl Who Raised Pigeons,easy,JJ,2
01: The Girl Who Raised Pigeons,eaten,VBN,1
01: The Girl Who Raised Pigeons,echoed,VBD,1
01: The Girl Who Raised Pigeons,edge,NN,2
01: The Girl Who Raised Pigeons,edged,VBD,1
01: The Girl Who Raised Pigeons,effort,NN,1
01: The Girl Who Raised Pigeons,eggs,NNS,1
01: The Girl Who Raised Pigeons,eight,CD,2
01: The Girl Who Raised Pigeons,either,DT,2
01: The Girl Who Raised Pigeons,either,RB,1
01: The Girl Who Raised Pigeons,elected,VBN,1
01: The Girl Who Raised Pigeons,electric,JJ,1
01: The Girl Who Raised Pigeons,eleven,NNS,1
01: The Girl Who Raised Pigeons,else,RB,4
01: The Girl Who Raised Pigeons,em,NN,9
01: The Girl Who Raised Pigeons,em,NNP,2
01: The Girl Who Raised Pigeons,emptied,VBD,1
