contributor | title | genre | pages | volume | issue | date | journal title | journal subtitle | issue name | journal editor | publisher | journal location | issue length (pp) | issue height (cm) | issue width (cm)
Jonas, Rosalie | Ballade des Belles Milatraisses: The Octoroon Ball, New Orleans, 1840-1850 | poetry | 22-22 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Maclean, M. D. | African Civilization | articles | 23-25 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Lepsius, Karl Richard | Two Negro Princesses of Meroe | images | 23-23 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Lepsius, Karl Richard | Royal Black Nubians Sacrificing after Victory | images | 25-25 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Osbourne, Lloyd | 'Daggancourt' | letters | 26-27 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Baker, Henry E. | 'Daggancourt' | letters | 26-27 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Milholland, John E. (Mrs.) | Talks about Women―IV | articles | 29-29 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Braithwaite, William Stanley | Resurrection | poetry | 19-19 | 1 | 6 | 1911-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Russell, Charles Edward | Leaving It to the South | articles | 23-25 | 1 | 6 | 1911-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Villard, Oswald Garrison | Color Hysteria | articles | 25-26 | 1 | 6 | 1911-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Milholland, John E. (Mrs.) | Talks about Women―V | articles | 27-27 | 1 | 6 | 1911-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Adams, John Henry | Cartoon: 'Mr. Lewis gets his!' | images | 31-31 | 1 | 6 | 1911-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Holloway, Cecelia H. | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Ingham, Harvey | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Ross, George G. | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Pickens, Wm. | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Dickerman, G. S. | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
The Washington "Bee" | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Chesnutt, Charles W. | Comments on The Crisis | letters | 3-3 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hunton, A. W. | Women's Clubs: The National Association of Colored Women | articles | 17-18 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Villard, Oswald Garrison | The N. A. A. C. P.: Report of the Chairman of the Executive Committee | articles | 25-28 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
DuBois, W. E. Burghardt | The N. A. A. C. P.: Violations of Property Rights | articles | 28-32 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Cowart, Wm. | Little Letters from the South | letters | 32-32 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Clifton, J. A. (M.D.) | Little Letters from the South | letters | 32-32 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Schomburg, Arthur A. | The Fight for Liberty in St. Lucia | articles | 33-34 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Proctor, L. A. | My Little Love Salome | poetry | 34-34 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Howsin, Hilda M. | What to Read: Race and Color Prejudice | articles | 38-38 | 2 | 1 | 1911-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Willson, Augustus E. | Letter to the N. A. A. C. P. from the Governor of Kentucky | letters | 61-61 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Richmond, George | Harriet Beecher Stowe, 1811-1911 | images | 68-68 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Holmes, Oliver Wendell | Lines from 'The World's Homage' | poetry | 68-68 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Stowe, Charles Edward | Harriet Beecher Stowe's Personal Knowledge of the Negro Character | articles | 69-70 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Dickerman, G. S. | Vacation Opportunities | articles | 71-72 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hawkins, Mason A. | Colored High Schools | articles | 73-75 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Dodge, Granville M. (Gen.) | The Black Soldier—A Letter from a Friend | letters | 77-77 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hunton, A. W. | Women's Clubs: Caring for the Children | articles | 78-79 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Oatman, Miriam E. | A Student Credo from Oberlin | articles | 79-79 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Milholland, John E. (Mrs.) | Talks about Women―VI | articles | 80-80 | 2 | 2 | 1912-06-01 | Crisis | A Record of the Darker Races | Teachers' Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Braithwaite, William Stanley | The Vision | poetry | 103-103 | 2 | 3 | 1911-07-01 | Crisis | A Record of the Darker Races | Vacation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Brooks, C. Ames | The N. A. A. C. P.: Letter to Mr. Oswald Garrison Villard | letters | 107-108 | 2 | 3 | 1911-07-01 | Crisis | A Record of the Darker Races | Vacation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Graham, Annie | The N. A. A. C. P.: Letter to Dr. W. E. B. DuBois | letters | 108-108 | 2 | 3 | 1911-07-01 | Crisis | A Record of the Darker Races | Vacation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Graham, Henry | The N. A. A. C. P.: Letter to Dr. W. E. B. DuBois | letters | 108-108 | 2 | 3 | 1911-07-01 | Crisis | A Record of the Darker Races | Vacation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Henderson, Edwin B. | The Colored College Athlete | articles | 115-119 | 2 | 3 | 1911-07-01 | Crisis | A Record of the Darker Races | Vacation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hunton, W. A. (Mrs.) | Women's Club: Caring for Young Women | articles | 121-122 | 2 | 3 | 1911-07-01 | Crisis | A Record of the Darker Races | Vacation Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Adams, John Henry | Cover Image: Portrait of a Woman | images | 133-133 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Adams, John Henry | The World in Council, London, July 26-29 | images | 156-156 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
W. E. B. D. | Editorial | articles | 157-159 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Moffat, Adelene | Views of a Southern Woman | articles | 160-162 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Justice, Robert W. | The Heart's Desire | poetry | 162-162 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Wright, Virginia | The Congo Express | articles | 163-166 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Evans, K. E. | Some Letters: From a Unitarian Clergyman | letters | 167-167 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Sprague, Katherine Tiffany | Some Letters: A Friend of the Crisis | letters | 167-167 | 2 | 4 | 1911-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Crane, Walter | Cover Image: The Seal of the Races Congress | images | 177-177 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Shallcross, Jesse | The N. A. A. C. P.: 'The Barbarous Lynching at Coatesville' | letters | 194-194 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Page, Helen | The N. A. A. C. P.: Letter to Mr. Garrison | letters | 194-194 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Our Own Correspondent | The Races Congress | articles | 200-209 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Du Bois, W. E. Burghardt | From 'A Hymn to the Peoples': Read before the Races Congress | poetry | 209-209 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hunton, W. A. (Mrs.) | Women's Clubs: State Conventions | articles | 210-212 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Ware, Eugene F. | John Brown | poetry | 212-212 | 2 | 5 | 1911-09-01 | Crisis | A Record of the Darker Races | Races Congress Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Bagnall, R. W. | The N. A. A. C. P.: Letter from Detroit | letters | 241-241 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Randolph, R. V. | The N. A. A. C. P.: Letter from Seattle | letters | 241-241 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Seidel, Emil | The N. A. A. C. P.: Letter regarding the Dismissal of a Colored Employee | letters | 242-242 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Maclean, M. D. | The First Bloodshed of the Civil War | articles | 246-250 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Webber, C. T. | The Underground Railroad | images | 246-246 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Holmes, John Haynes | A Letter: The Contagion of the South | letters | 251-252 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Johnson, Will. N. | The Coward | fiction | 252-252 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hunton, W. A. (Mrs.) | Women's Clubs: Mrs. Sarah J. Garnett | articles | 253-253 | 2 | 6 | 1911-10-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Scurlock | Cover Image: Photograph of a Quadroon | images | 1-1 | 3 | 1 | 1911-11-01 | Crisis | A Record of the Darker Races | First Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hawkins, W. Ashbie | A Year of Segregation in Baltimore | articles | 27-30 | 3 | 1 | 1911-11-01 | Crisis | A Record of the Darker Races | First Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Steward, Susan M. (Dr.) | Women's Clubs: Colored American Women | articles | 33-34 | 3 | 1 | 1911-11-01 | Crisis | A Record of the Darker Races | First Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Dürer, Albrecht | Cover Image: Adoration of the Three Wise Men | images | 45-45 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Latimer, Louise R. | Cover Design and Department Headers | images | 45-45 51-51 58-58 60-60 64-64 65-65 76-76 77-77 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Du Bois, W. E. B. | Joseph Pultizer | poetry | 59-59 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Russell, Charles Edward | Wendell Phillips | articles | 67-67 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Latimer, Louise R. | The Crucified Christ Gazing Down on a Lynching | images | 70-70 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Pickens, William | The Story of a 'Desperado' | articles | 74-75 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hershaw, L. M. | Historic Days in December | articles | 75-75 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Ovington, Mary White | Nativity | poetry | 76-76 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Braithwaite, William Stanley | What to Read: Book Review of 'The Quest of the Silver Fleece' by W. E. B. Du Bois | articles | 77-78 | 3 | 2 | 1911-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Adams, John Henry | Cover Image: Drawing of a Woman's Head | images | 89-89 | 3 | 3 | 1912-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Holmes, John | The N. A. A. C. P.: Holmes on Lynching | articles | 109-111 | 3 | 3 | 1912-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Ransom, Reverdy (Rev.) | The N. A. A. C. P.: Ransom on Phillips | articles | 111-112 | 3 | 3 | 1912-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Moore, William | Here in the Time of the Winter Morn | poetry | 116-116 | 3 | 3 | 1912-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hershaw, L. M. | Historic Days in January | articles | 120-120 | 3 | 3 | 1912-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hill, Leslie Pinckney | Vision of a Lyncher | poetry | 122-122 | 3 | 3 | 1912-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Bradley, Vernon S. | Disfranchising Voters in Maryland | articles | 163-165 | 3 | 4 | 1912-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hershaw, L. M. | Historic Days in February | articles | 166-166 | 3 | 4 | 1912-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Adams, John Henry | Cover Image: Drawing of a Woman | images | 177-177 | 3 | 5 | 1912-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Villard, Oswald Garrison | Editorial: A Southern Northerner | letters | 202-202 | 3 | 5 | 1912-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Pillsbury, Albert E. (the Honorable) | A Federal Remedy for Lynching | articles | 205-208 | 3 | 5 | 1912-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Hershaw, L. M. | Historic Days in March | articles | 210-210 | 3 | 5 | 1912-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
Fauset, Jessie | What to Read: Review of 'On the New-Time Negro' by Mary White Ovington | articles | 211-212 | 3 | 5 | 1912-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 44 | 22.9 | 15.2      
