script_id,imdb_id,title,year,gross,lines_data
4706,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987,99,145553434355620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4702,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988,104,432540466663641000000000000000000000000000000000000000000000
4703,tt0097981,A Nightmare on Elm Street 5: The Dream Child,1989,48,2210232343532030000000000000000000000000000000000000000000000000000000000000000000
7251,tt0971209,A Perfect Getaway,2009,17,4555774453577780000000000000000000000000000000000000000000000000000000000000
1222,tt0107808,A Perfect World,1993,65,3736777767656430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4892,tt0091867,A Room with a View,1985,51,123420013654523000000000000000000000000000000000000000000000000000000000000000000000
6822,tt0405296,A Scanner Darkly,2006,7,777777444414264000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
633,tt1019452,A Serious Man,2009,10,1456767771566780000000000000000000000000000000000000000000000000000000000000000000000000
4961,tt0120324,A Simple Plan,1998,30,677777777742446000000000000000000000000000000000000000000000000000000000000000
4963,tt1315981,A Single Man,2009,10,6777753435777780000000000000000000000000000000000000000000000000000000000
1455,tt0281358,A Walk to Remember,2002,61,576515574753777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8682,tt0212720,A.I. Artificial Intelligence,2001,120,4654434433443430000000000000000000000000000000000000000000000000000000000000000
6034,tt1826590,About Last Night,2014,51,76341733145225400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
642,tt0094602,Above the Law,1988,40,777765775777264000000000000000000000000000000000000000000000000000
1545,tt0118548,Absolute Power,1997,94,55435556334567800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1550,tt0109040,Ace Ventura: Pet Detective,1994,150,7746766223346560000000000000000000000000000000000000000000000000000000000000000000
6407,tt0268126,Adaptation.,2002,33,54345773727747700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3805,tt1091722,Adventureland,2009,18,55774444677637800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1559,tt0118564,Affliction,1997,11,4435377534476650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1564,tt0088683,Agnes of God,1985,,430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
647,tt0118571,Air Force One,1997,327,7757753777600010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
650,tt0083530,Airplane II: The Sequel,1982,,77477777646456400000000000000000000000000000000000000000000000000000000000000000000000000000
648,tt0080339,Airplane!,1980,269,44547463464434200000000000000000000000000000000000000000000000000000000000
1571,tt0103639,Aladdin,1992,454,77776776467763500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8683,tt0375173,Alfie,2004,18,7777645314456780000000000000000000000000000000000000000000000
653,tt0248667,Ali,2001,89,7777777777775350000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3816,tt1014759,Alice in Wonderland,2010,368,1100000002400330000000000000000000000000000000000000000000000000000000000000000000
1576,tt0078748,Alien,1979,6,65773356777765500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
652,tt0094631,Alien Nation,1988,53,77777777777777800000000000000000000000000000000000000
3818,tt0118583,Alien: Resurrection,1997,90,77667774545576600000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1597,tt0090605,Aliens,1986,199,2232321260543460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7235,tt0758730,Aliens vs. Predator: Requiem,2007,52,7777513767733680000000000000000000000000000000000000000000000000
1582,tt0103644,Alienﾳ,1992,116,756534345657777000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1603,tt0881891,All About Steve,2009,39,311047732011344000000000000000000000000000000000000000000000000000000000000000000000000000000000
3824,tt0847214,All God's Children Can Dance,2008,,3242343533324440000000000000000000000000000000000000000000000000000
6157,tt0490076,All the Boys Love Mandy Lane,2006,,445413402563246000000000000000000000000000000000000000
7583,tt0074119,All the President's Men,1976,,77777775777777700000000000000000000000000000000000000000000000000000000000000000000000000000
8230,tt0149624,All the Pretty Horses,2000,25,577777777777778000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1606,tt0181875,Almost Famous,2000,52,100022412222157000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1609,tt0369226,Alone in the Dark,2005,6,67766566441654400000000000000000000000000000000000000000000000000000000000000000000000000000
664,tt0086879,Amadeus,1984,,777774334367778000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1613,tt1129445,Amelia,2009,16,465344532002543000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5803,tt0211915,Am�lie,2001,51,311103444701300000000000000000000000000000000000000000000
1615,tt0169547,American Beauty,1999,222,5652774244101430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
665,tt0765429,American Gangster,2007,164,77777777777744600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7955,tt0080365,American Gigolo,1980,,4454342444377780000000000000000000000000000000000000000000000000000000000000000000000000000000
666,tt0069704,American Graffiti,1973,565,777654375777778000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5805,tt0120586,American History X,1998,12,6667777777777780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1628,tt1800241,American Hustle,2013,160,636646777544245000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1631,tt0022626,American Madness,1932,,67777533777546800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1634,tt0244000,American Outlaws,2001,20,7777777777777750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1635,tt0163651,American Pie,1999,174,6554774077777770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1639,tt0144084,American Psycho,2000,24,77767343344463400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3834,tt0101327,American Shaolin,1991,,7777777777777780000000000000000000000000000000000000000000000000000000000000000
7413,tt2179136,American Sniper,2014,372,7777477740033180000000000000000000000000000000000000000000
1643,tt0305206,American Splendor,2003,8,327775677777775000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7716,tt3316948,American Ultra,2015,14,535454434321134000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5373,tt1602620,Amour,2012,,44446733533424400000000000000000000000000000000000000000000
3807,tt0050105,An Affair to Remember,1957,,7535434545334440000000000000000000000000000000000000000000000000000
674,tt0082010,An American Werewolf in London,1981,,777776465476758000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3838,tt0118604,An American Werewolf in Paris,1997,50,777543344777546000000000000000000000000000000000000000000000000000000000000000
1650,tt1174732,An Education,2009,14,3341036223100020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4738,tt0084434,An Officer and a Gentleman,1982,384,77777777777777700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8219,tt0078444,An Unmarried Woman,1978,,4420000000034110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
678,tt0289848,Analyze That,2002,48,77777745457777800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1652,tt0122933,Analyze This,1999,183,775477777777776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
676,tt0118617,Anastasia,1997,110,4612777777777780000000000000000000000000000000
8699,tt0052561,Anatomy of a Murder,1959,,77772335747777800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7630,tt0357413,Anchorman: The Legend of Ron Burgundy,2004,117,77777777765275600000000000000000000000000000000000000000000000000000000000000000000000
1655,tt0225071,Angel Eyes,2001,36,146743522342047000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1657,tt0808151,Angels & Demons,2009,154,3777777774267780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3850,tt1313092,Animal Kingdom,2010,1,7775455536777640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1659,tt1781769,Anna Karenina,2012,13,55447777740235700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
682,tt0075686,Annie Hall,1977,152,74577774435555600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1667,tt1521197,Anonymous,2011,4,77777777777777700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5376,tt1431181,Another Year,2010,3,577300000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1669,tt0218817,Antitrust,2001,16,6535663777774370000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1671,tt0120587,Antz,1998,168,73100674444457700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8703,tt0146838,Any Given Sunday,1999,129,7777577577677780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1676,tt0078788,Apocalypse Now,1979,16,777777777777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8194,tt1772240,Apollo 18,2011,19,777777777777778000000000000000000000000000000000000000
1682,tt0118636,Apt Pupil,1998,16,777777777777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1684,tt1764183,Arbitrage,2012,8,47645434467775400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1689,tt0106303,Arctic Blue,1993,,666677777774568000000000000000000000000000000000000000000000000000000000000000000000
1691,tt1024648,Argo,2012,148,6776777777775780000000000000000000000000000000000000000000000000000000000000000000000
7800,tt0137363,Arlington Road,1999,41,6464477777777780000000000000000000000000000000000000000000000000000000000000000000000000
1694,tt0120591,Armageddon,1998,374,7777743477574780000000000000000000000000000000000000000000000000000000000000000
3862,tt0913354,Armored,2009,18,77777777777777800000000000000000000000000000000000000000000000000000000000000000
1696,tt0106308,Army of Darkness,1992,24,7746756777777780000000000000000000000000000000000000
6605,tt0364955,Art School Confidential,2006,4,7777777677145370000000000000000000000000000000000000000000000000000000000000000000
1700,tt0082031,Arthur,1981,298,777777777777778000000000000000000000000000000000000000000000000000000000000000000000000
6037,tt1430607,Arthur Christmas,2011,50,676565777777778000000000000000
1702,tt0119822,As Good as It Gets,1997,280,777777770231338000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1705,tt0112401,Assassins,1995,60,7777777777777570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1710,tt0132512,At First Sight,1999,38,34433445543354500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3872,tt0783233,Atonement,2007,64,230143104334365000000000000000000000000000000000000000000000000000000000000000000000
5378,tt1322269,August: Osage County,2013,40,774321350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
698,tt0118655,Austin Powers: International Man of Mystery,1997,102,7577567746764370000000000000000000000000000000000000000000000000000000000000000
699,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,351,35676457776544400000000000000000000000000000000000000000000000000000000
1716,tt2114461,Authors Anonymous,2014,,643644652253577000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1717,tt0174480,Autumn in New York,2000,61,32467532213325500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1718,tt0499549,Avatar,2009,882,77777774344464400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
706,tt0099077,Awakenings,1990,107,7777674774577750000000000000000000000000000000000000000000000000000000000000000000000000
3879,tt0491747,Away from Her,2006,20,4244222222231510000000000000000000000000000000000000000000000000000000000000000000000000000
5170,tt1176740,Away We Go,2009,10,33452343403463400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1727,tt0449467,Babel,2006,45,677777763102410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
707,tt0086927,Bachelor Party,1984,99,25666777777600000000000000000000000000000000000000000000000000000000000000000000000000
7856,tt0088763,Back to the Future,1985,517,77777777740147700000000000000000000000000000000000000000000000000000000000000000
3881,tt0096874,Back to the Future Part II,1989,258,576777777757438000000000000000000000000000000000000000000000000000000000
3882,tt0099088,Back to the Future Part III,1990,180,576777777777777000000000000000000000000000000000000000000000000000000000000000000
1735,tt0101393,Backdraft,1991,160,777777734577734000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
708,tt0112442,Bad Boys,1995,131,76653455666753600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1739,tt2350892,Bad Country,2014,,54677776777777800000000000000000000000000000000000000000000000000000000000000000000000000
1740,tt0047849,Bad Day at Black Rock,1955,,77777777777777800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
712,tt0103759,Bad Lieutenant,1992,4,742124367617427
7897,tt1034010,Bad Meat,2011,,765775005355417000000000000000000000000000000000000000
1744,tt0307987,Bad Santa,2003,86,22577777760077800000000000000000000000000000000000000000000000000000000000000000000000000
1746,tt1284575,Bad Teacher,2011,109,62212310000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1747,tt0069762,Badlands,1973,,574434364452323000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
714,tt0215545,Bamboozled,2000,3,777756777434647000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3892,tt1423894,Barney's Version,2010,8,775674377772658000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
716,tt0072684,Barry Lyndon,1975,,76443465567777800000000000000000000000000000000000000000000000000000000000000000000000000000000000000
715,tt0101410,Barton Fink,1991,12,645777777777778000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1759,tt0264395,Basic,2003,38,36646566644447800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
718,tt0103772,Basic Instinct,1992,247,77774442344675600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1762,tt0115632,Basquiat,1996,5,5655434574445470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
725,tt0096895,Batman,1989,550,7747763476646550000000000000000000000000000000000000000000000
1771,tt0118688,Batman & Robin,1997,202,7777777547567280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1773,tt0372784,Batman Begins,2005,278,4777776777777200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1775,tt0112462,Batman Forever,1995,368,7777777775277780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
722,tt0103776,Batman Returns,1992,341,65575547777544700000000000000000000000000000000000000000000000
6053,tt1532958,Battle of the Year,2013,9,7777777777777780000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9245,tt0185183,Battlefield Earth,2000,34,67777777777777800000000000000000000000000
3902,tt0094715,Beaches,1988,120,1000006045212620000000000000000000000000000000000000
1789,tt0118689,Bean,1997,85,7777434635433540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5380,tt1365050,Beasts of No Nation,2015,,777777767747646000000000000000000000000000000000000000000000000000000000000000
1792,tt2125435,Beasts of the Southern Wild,2012,13,5000024505675640000000000000000000000000000000
9254,tt0101414,Beauty and the Beast,1991,452,32457533343777700000000000000000000000000000000000000000000000000000000000000000000000
729,tt0115641,Beavis and Butt-Head Do America,1996,124,77777777255775400000000000000000000000000000000000
8031,tt0115644,Bed of Roses,1996,74,5521412205102670000000000000000000000000000000000000000
3907,tt0389790,Bee Movie,2007,160,65577755457777800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3909,tt0094721,Beetlejuice,1988,155,4320234543335350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5381,tt2209418,Before Midnight,2013,8,777777433523343000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8727,tt0112471,Before Sunrise,1995,10,43444342434344300000000000000000000000000000000000000000000000000000000000
6916,tt0381681,Before Sunset,2004,8,55756435234425200000000000000000000000000000000000000000000
8633,tt1980929,Begin Again,2013,17,764434446777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1796,tt1532503,Beginners,2010,6,777764777747735000000000000000000000000000000000000000000000000000000000000000000000000000000000
734,tt0106379,Being Human,1994,3,777777754477777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1801,tt0120601,Being John Malkovich,1999,39,344243666554423000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1802,tt0078841,Being There,1979,,334336766657567000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5383,tt2404181,Belle,2013,11,42253350014023600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1807,tt0120603,Beloved,1998,42,400000003444443000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3918,tt0276816,Below,2002,0,777757447556778000000000000000000000000000000000000000000000000000000000000000000000000000
3919,tt0065462,Beneath the Planet of the Apes,1970,,77777633445247600000000000000000
1809,tt0106387,Benny & Joon,1993,48,7673477765767650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3920,tt0442933,Beowulf,2007,103,777763467777777000000000000000000000000000000000000000000000000000
3922,tt0402057,Beowulf & Grendel,2005,,77777777777777400000000000000000000000000000000000000000000000000000000000000
1811,tt0094737,Big,1988,243,776774413777666000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6910,tt1126590,Big Eyes,2014,15,20075643631367700000000000000000000000000000000000000000000000000000000000000
6607,tt1228953,Big Fan,2009,,6677347777537750000000000000000000000
740,tt0319061,Big Fish,2003,95,67437751356777800000000000000000000000000000000000000000000000
8095,tt0099141,Bird on a Wire,1990,146,67646316447546600000000000
5385,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,45,5534636777745270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1831,tt0188453,Birthday Girl,2001,7,775543775774477000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8237,tt0454082,Black Christmas,2006,21,10000000000000000000000000000000000000000
7243,tt0265086,Black Hawk Down,2001,167,777777777777778000000000000000000000000000000000000000000000000000000000000000000000000000000000000
744,tt0096933,Black Rain,1989,99,7777777777777780000000000000000000000000000000000000000000000000000000000
1838,tt0462200,Black Snake Moan,2006,12,5546334333426340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1841,tt0947798,Black Swan,2010,117,75730023561003500000000000000000000000000000000000000000000000000000000
1843,tt0120611,Blade,1998,129,344534566776454000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1846,tt0187738,Blade II,2002,122,26677777775563600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1849,tt0083658,Blade Runner,1982,4,7777777777745360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3936,tt0359013,Blade: Trinity,2004,73,3627677757777660000000000000000000000000000000000000000000000
7935,tt0445934,Blades of Glory,2007,149,77573576777777800000000000000000000000000000000000000000000000000000000000000000000000
1853,tt0124298,Blast from the Past,1999,45,422563344424665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8301,tt0071230,Blazing Saddles,1974,558,777777777767677000000000000000000000000000000
1858,tt0115710,Blood and Wine,1996,2,54377755336777500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8743,tt0450259,Blood Diamond,2006,76,77777501777770500000000000000000000000000000000
1861,tt0086979,Blood Simple.,1984,4,7757777736655640000000000000000000000000000000000000000000000000000
8744,tt0309377,Blood Work,2002,39,6004057777402770000000000000000000000000000000000000000000
4589,tt0112533,Bloodfist VII: Manhunt,1995,,775743443346478000000000000000000000000000000000000000000000000000000000
