story,lowercase,count
01: The Girl Who Raised Pigeons,roof,14
01: The Girl Who Raised Pigeons,room,12
01: The Girl Who Raised Pigeons,said,47
01: The Girl Who Raised Pigeons,saw,8
01: The Girl Who Raised Pigeons,say,10
01: The Girl Who Raised Pigeons,school,11
01: The Girl Who Raised Pigeons,see,14
01: The Girl Who Raised Pigeons,seemed,7
01: The Girl Who Raised Pigeons,side,8
01: The Girl Who Raised Pigeons,sitting,7
01: The Girl Who Raised Pigeons,small,7
01: The Girl Who Raised Pigeons,something,7
01: The Girl Who Raised Pigeons,sometimes,6
01: The Girl Who Raised Pigeons,sound,7
01: The Girl Who Raised Pigeons,still,6
01: The Girl Who Raised Pigeons,stood,11
01: The Girl Who Raised Pigeons,street,37
01: The Girl Who Raised Pigeons,take,12
01: The Girl Who Raised Pigeons,thelma,14
01: The Girl Who Raised Pigeons,things,6
01: The Girl Who Raised Pigeons,think,7
01: The Girl Who Raised Pigeons,though,6
01: The Girl Who Raised Pigeons,thought,9
01: The Girl Who Raised Pigeons,three,12
01: The Girl Who Raised Pigeons,time,24
01: The Girl Who Raised Pigeons,times,7
01: The Girl Who Raised Pigeons,told,14
01: The Girl Who Raised Pigeons,took,17
01: The Girl Who Raised Pigeons,turned,8
01: The Girl Who Raised Pigeons,two,23
01: The Girl Who Raised Pigeons,umbrella,6
01: The Girl Who Raised Pigeons,walter,7
01: The Girl Who Raised Pigeons,wanted,7
01: The Girl Who Raised Pigeons,watching,6
01: The Girl Who Raised Pigeons,water,7
01: The Girl Who Raised Pigeons,way,17
01: The Girl Who Raised Pigeons,weeks,10
01: The Girl Who Raised Pigeons,went,13
01: The Girl Who Raised Pigeons,window,12
01: The Girl Who Raised Pigeons,without,6
01: The Girl Who Raised Pigeons,woman,10
01: The Girl Who Raised Pigeons,word,6
01: The Girl Who Raised Pigeons,work,7
01: The Girl Who Raised Pigeons,world,15
01: The Girl Who Raised Pigeons,would,84
01: The Girl Who Raised Pigeons,years,15
01: The Girl Who Raised Pigeons,yes,7
02: The First Day,avenue,6
02: The First Day,child,6
02: The First Day,form,6
02: The First Day,girl,8
02: The First Day,go,8
02: The First Day,hand,8
02: The First Day,looks,6
02: The First Day,mother,42
02: The First Day,new,9
02: The First Day,one,12
02: The First Day,says,7
02: The First Day,school,10
02: The First Day,see,6
02: The First Day,street,6
02: The First Day,takes,7
02: The First Day,woman,23
03: The Night Rhonda Ferguson Was Killed,across,8
03: The Night Rhonda Ferguson Was Killed,ai,6
03: The Night Rhonda Ferguson Was Killed,anacostia,8
03: The Night Rhonda Ferguson Was Killed,anita,68
03: The Night Rhonda Ferguson Was Killed,another,6
03: The Night Rhonda Ferguson Was Killed,anything,7
03: The Night Rhonda Ferguson Was Killed,apartment,6
03: The Night Rhonda Ferguson Was Killed,arm,9
03: The Night Rhonda Ferguson Was Killed,arms,10
03: The Night Rhonda Ferguson Was Killed,around,8
03: The Night Rhonda Ferguson Was Killed,asked,6
03: The Night Rhonda Ferguson Was Killed,back,39
03: The Night Rhonda Ferguson Was Killed,bed,7
03: The Night Rhonda Ferguson Was Killed,began,11
03: The Night Rhonda Ferguson Was Killed,behind,12
03: The Night Rhonda Ferguson Was Killed,beside,8
03: The Night Rhonda Ferguson Was Killed,best,6
03: The Night Rhonda Ferguson Was Killed,better,6
03: The Night Rhonda Ferguson Was Killed,bitch,6
03: The Night Rhonda Ferguson Was Killed,boxes,8
03: The Night Rhonda Ferguson Was Killed,boy,18
03: The Night Rhonda Ferguson Was Killed,call,6
03: The Night Rhonda Ferguson Was Killed,called,6
03: The Night Rhonda Ferguson Was Killed,came,12
03: The Night Rhonda Ferguson Was Killed,car,42
03: The Night Rhonda Ferguson Was Killed,cassandra,130
03: The Night Rhonda Ferguson Was Killed,cause,10
03: The Night Rhonda Ferguson Was Killed,cigarette,6
03: The Night Rhonda Ferguson Was Killed,clifton,7
03: The Night Rhonda Ferguson Was Killed,come,11
03: The Night Rhonda Ferguson Was Killed,coming,6
03: The Night Rhonda Ferguson Was Killed,continued,7
03: The Night Rhonda Ferguson Was Killed,corner,6
03: The Night Rhonda Ferguson Was Killed,could,16
03: The Night Rhonda Ferguson Was Killed,cute,8
03: The Night Rhonda Ferguson Was Killed,damn,7
03: The Night Rhonda Ferguson Was Killed,daughter,6
03: The Night Rhonda Ferguson Was Killed,even,10
03: The Night Rhonda Ferguson Was Killed,ever,7
03: The Night Rhonda Ferguson Was Killed,father,32
03: The Night Rhonda Ferguson Was Killed,first,11
03: The Night Rhonda Ferguson Was Killed,followed,9
03: The Night Rhonda Ferguson Was Killed,front,11
03: The Night Rhonda Ferguson Was Killed,gave,7
03: The Night Rhonda Ferguson Was Killed,get,36
03: The Night Rhonda Ferguson Was Killed,girl,17
03: The Night Rhonda Ferguson Was Killed,girls,17
03: The Night Rhonda Ferguson Was Killed,give,9
03: The Night Rhonda Ferguson Was Killed,gladys,38
03: The Night Rhonda Ferguson Was Killed,go,9
03: The Night Rhonda Ferguson Was Killed,going,9
03: The Night Rhonda Ferguson Was Killed,gon,8
03: The Night Rhonda Ferguson Was Killed,good,8
03: The Night Rhonda Ferguson Was Killed,got,23
03: The Night Rhonda Ferguson Was Killed,guy,9
03: The Night Rhonda Ferguson Was Killed,hands,6
03: The Night Rhonda Ferguson Was Killed,head,7
03: The Night Rhonda Ferguson Was Killed,hear,6
03: The Night Rhonda Ferguson Was Killed,held,8
03: The Night Rhonda Ferguson Was Killed,home,12
03: The Night Rhonda Ferguson Was Killed,honey,6
03: The Night Rhonda Ferguson Was Killed,house,23
03: The Night Rhonda Ferguson Was Killed,joyce,12
03: The Night Rhonda Ferguson Was Killed,knew,8
03: The Night Rhonda Ferguson Was Killed,know,28
03: The Night Rhonda Ferguson Was Killed,left,6
03: The Night Rhonda Ferguson Was Killed,life,9
03: The Night Rhonda Ferguson Was Killed,light,9
03: The Night Rhonda Ferguson Was Killed,like,19
03: The Night Rhonda Ferguson Was Killed,little,12
03: The Night Rhonda Ferguson Was Killed,long,6
03: The Night Rhonda Ferguson Was Killed,look,9
03: The Night Rhonda Ferguson Was Killed,looked,7
03: The Night Rhonda Ferguson Was Killed,looking,8
03: The Night Rhonda Ferguson Was Killed,love,10
03: The Night Rhonda Ferguson Was Killed,made,9
03: The Night Rhonda Ferguson Was Killed,make,11
03: The Night Rhonda Ferguson Was Killed,man,6
03: The Night Rhonda Ferguson Was Killed,melanie,65
03: The Night Rhonda Ferguson Was Killed,men,6
03: The Night Rhonda Ferguson Was Killed,middle,6
03: The Night Rhonda Ferguson Was Killed,mind,8
03: The Night Rhonda Ferguson Was Killed,money,6
03: The Night Rhonda Ferguson Was Killed,mother,20
03: The Night Rhonda Ferguson Was Killed,much,10
03: The Night Rhonda Ferguson Was Killed,music,6
03: The Night Rhonda Ferguson Was Killed,na,14
03: The Night Rhonda Ferguson Was Killed,next,7
03: The Night Rhonda Ferguson Was Killed,night,9
03: The Night Rhonda Ferguson Was Killed,nine,6
03: The Night Rhonda Ferguson Was Killed,oh,8
03: The Night Rhonda Ferguson Was Killed,one,25
03: The Night Rhonda Ferguson Was Killed,party,8
03: The Night Rhonda Ferguson Was Killed,pearl,11
03: The Night Rhonda Ferguson Was Killed,people,16
03: The Night Rhonda Ferguson Was Killed,radio,6
03: The Night Rhonda Ferguson Was Killed,rhonda,42
03: The Night Rhonda Ferguson Was Killed,right,13
03: The Night Rhonda Ferguson Was Killed,room,7
03: The Night Rhonda Ferguson Was Killed,said,109
03: The Night Rhonda Ferguson Was Killed,sang,7
03: The Night Rhonda Ferguson Was Killed,sat,11
03: The Night Rhonda Ferguson Was Killed,say,9
03: The Night Rhonda Ferguson Was Killed,saying,6
03: The Night Rhonda Ferguson Was Killed,school,9
03: The Night Rhonda Ferguson Was Killed,seat,9
03: The Night Rhonda Ferguson Was Killed,second,6
03: The Night Rhonda Ferguson Was Killed,see,21
03: The Night Rhonda Ferguson Was Killed,seemed,10
03: The Night Rhonda Ferguson Was Killed,set,8
03: The Night Rhonda Ferguson Was Killed,shit,6
03: The Night Rhonda Ferguson Was Killed,side,8
03: The Night Rhonda Ferguson Was Killed,sing,12
03: The Night Rhonda Ferguson Was Killed,sister,6
03: The Night Rhonda Ferguson Was Killed,small,9
03: The Night Rhonda Ferguson Was Killed,standing,7
03: The Night Rhonda Ferguson Was Killed,still,10
03: The Night Rhonda Ferguson Was Killed,stood,8
03: The Night Rhonda Ferguson Was Killed,street,42
03: The Night Rhonda Ferguson Was Killed,take,11
03: The Night Rhonda Ferguson Was Killed,teacher,9
03: The Night Rhonda Ferguson Was Killed,tell,6
03: The Night Rhonda Ferguson Was Killed,thas,8
03: The Night Rhonda Ferguson Was Killed,think,8
03: The Night Rhonda Ferguson Was Killed,thought,8
03: The Night Rhonda Ferguson Was Killed,three,10
03: The Night Rhonda Ferguson Was Killed,time,13
03: The Night Rhonda Ferguson Was Killed,told,10
03: The Night Rhonda Ferguson Was Killed,tomorrow,6
03: The Night Rhonda Ferguson Was Killed,took,13
03: The Night Rhonda Ferguson Was Killed,turned,9
03: The Night Rhonda Ferguson Was Killed,two,17
03: The Night Rhonda Ferguson Was Killed,waiting,6
03: The Night Rhonda Ferguson Was Killed,wall,7
03: The Night Rhonda Ferguson Was Killed,wan,6
03: The Night Rhonda Ferguson Was Killed,want,6
03: The Night Rhonda Ferguson Was Killed,wanted,9
03: The Night Rhonda Ferguson Was Killed,way,15
03: The Night Rhonda Ferguson Was Killed,well,6
03: The Night Rhonda Ferguson Was Killed,went,9
03: The Night Rhonda Ferguson Was Killed,wesley,13
03: The Night Rhonda Ferguson Was Killed,window,11
03: The Night Rhonda Ferguson Was Killed,wo,6
03: The Night Rhonda Ferguson Was Killed,woman,8
03: The Night Rhonda Ferguson Was Killed,world,8
03: The Night Rhonda Ferguson Was Killed,would,25
04: Young Lions,alone,9
04: Young Lions,always,8
04: Young Lions,angelo,8
04: Young Lions,anna,13
04: Young Lions,another,9
04: Young Lions,apartment,9
04: Young Lions,around,6
04: Young Lions,asked,7
04: Young Lions,avenue,9
04: Young Lions,away,18
04: Young Lions,back,35
04: Young Lions,bag,6
04: Young Lions,bar,8
04: Young Lions,began,6
04: Young Lions,behind,7
04: Young Lions,boy,9
04: Young Lions,bus,8
04: Young Lions,caesar,75
04: Young Lions,call,6
04: Young Lions,called,6
04: Young Lions,came,13
04: Young Lions,carol,29
04: Young Lions,children,6
04: Young Lions,come,14
04: Young Lions,could,29
04: Young Lions,crossed,7
04: Young Lions,day,12
04: Young Lions,days,6
04: Young Lions,door,10
04: Young Lions,enough,6
04: Young Lions,even,8
04: Young Lions,evening,6
04: Young Lions,everything,9
04: Young Lions,eyes,7
04: Young Lions,face,13
04: Young Lions,father,28
04: Young Lions,feet,7
04: Young Lions,first,17
04: Young Lions,found,7
04: Young Lions,front,9
04: Young Lions,gave,7
04: Young Lions,get,9
04: Young Lions,go,12
04: Young Lions,good,6
04: Young Lions,got,23
04: Young Lions,gun,8
04: Young Lions,hand,9
04: Young Lions,head,7
04: Young Lions,heading,7
04: Young Lions,heh,17
04: Young Lions,home,25
04: Young Lions,house,16
04: Young Lions,knew,17
04: Young Lions,know,13
04: Young Lions,last,10
04: Young Lions,later,8
04: Young Lions,left,12
04: Young Lions,light,10
04: Young Lions,lights,6
04: Young Lions,like,15
04: Young Lions,little,10
04: Young Lions,living,6
04: Young Lions,look,7
04: Young Lions,looked,15
04: Young Lions,made,13
04: Young Lions,make,6
04: Young Lions,man,34
04: Young Lions,manny,44
04: Young Lions,men,6
04: Young Lions,money,7
04: Young Lions,months,10
04: Young Lions,morning,12
04: Young Lions,mother,8
04: Young Lions,much,9
04: Young Lions,never,10
04: Young Lions,night,10
04: Young Lions,old,13
04: Young Lions,one,27
04: Young Lions,opened,6
04: Young Lions,park,10
04: Young Lions,people,14
04: Young Lions,picture,10
04: Young Lions,pictures,13
04: Young Lions,place,14
04: Young Lions,pulled,11
04: Young Lions,put,11
04: Young Lions,putting,6
04: Young Lions,rain,7
04: Young Lions,read,7
04: Young Lions,retarded,22
04: Young Lions,room,11
04: Young Lions,said,71
04: Young Lions,sandra,7
04: Young Lions,sat,7
04: Young Lions,saw,12
04: Young Lions,see,25
04: Young Lions,sherman,60
04: Young Lions,shit,6
04: Young Lions,side,6
04: Young Lions,slapped,6
04: Young Lions,something,8
04: Young Lions,sound,7
04: Young Lions,standing,7
04: Young Lions,still,10
04: Young Lions,stood,11
04: Young Lions,stop,7
04: Young Lions,street,25
04: Young Lions,table,8
04: Young Lions,take,8
04: Young Lions,taken,8
04: Young Lions,telephone,6
04: Young Lions,thing,10
04: Young Lions,things,8
04: Young Lions,thought,11
04: Young Lions,three,11
04: Young Lions,time,25
04: Young Lions,times,6
04: Young Lions,told,21
04: Young Lions,took,24
04: Young Lions,two,30
04: Young Lions,walked,9
04: Young Lions,wanted,10
04: Young Lions,watch,7
04: Young Lions,watched,6
04: Young Lions,way,15
04: Young Lions,week,8
04: Young Lions,went,17
04: Young Lions,white,6
04: Young Lions,without,11
04: Young Lions,woman,44
04: Young Lions,women,7
04: Young Lions,wore,6
04: Young Lions,work,13
04: Young Lions,world,10
04: Young Lions,would,57
05: The Store,across,6
05: The Store,al,9
05: The Store,always,28
05: The Store,anymore,6
05: The Store,anything,10
05: The Store,apron,6
05: The Store,around,16
05: The Store,ask,7
05: The Store,asked,7
05: The Store,avenue,8
05: The Store,away,15
05: The Store,baby,6
05: The Store,back,50
05: The Store,baxter,11
05: The Store,became,6
05: The Store,began,7
05: The Store,behind,8
05: The Store,bought,6
05: The Store,box,6
05: The Store,boy,13
05: The Store,brenda,7
05: The Store,brother,6
05: The Store,buy,7
05: The Store,call,8
05: The Store,called,10
05: The Store,came,27
05: The Store,car,9
05: The Store,children,6
05: The Store,clean,6
05: The Store,closed,7
05: The Store,come,24
05: The Store,coming,7
05: The Store,could,34
05: The Store,counter,10
05: The Store,credit,6
05: The Store,customer,7
05: The Store,customers,6
05: The Store,day,40
05: The Store,days,9
05: The Store,despite,6
05: The Store,dollars,6
05: The Store,done,12
05: The Store,door,25
05: The Store,else,8
05: The Store,end,7
05: The Store,enough,13
05: The Store,even,14
05: The Store,evening,12
05: The Store,every,12
05: The Store,everything,9
05: The Store,family,9
05: The Store,far,9
05: The Store,father,32
05: The Store,first,28
05: The Store,found,9
05: The Store,four,7
05: The Store,front,9
05: The Store,gave,9
05: The Store,get,25
05: The Store,getting,8
05: The Store,girl,18
05: The Store,girls,8
05: The Store,give,9
05: The Store,go,24
05: The Store,going,9
05: The Store,gon,9
05: The Store,good,26
05: The Store,got,31
05: The Store,happened,7
05: The Store,heard,7
05: The Store,heart,6
05: The Store,home,21
05: The Store,jenkins,19
05: The Store,job,12
05: The Store,joy,7
05: The Store,kentucky,23
05: The Store,kept,10
05: The Store,kids,6
05: The Store,kind,9
05: The Store,knew,9
05: The Store,know,28
05: The Store,last,8
05: The Store,late,17
05: The Store,left,14
05: The Store,let,8
05: The Store,life,10
05: The Store,light,12
05: The Store,like,31
05: The Store,liked,6
05: The Store,line,6
05: The Store,little,17
05: The Store,lived,7
05: The Store,long,16
05: The Store,lonney,17
05: The Store,look,13
05: The Store,looking,9
05: The Store,made,10
05: The Store,make,10
05: The Store,man,19
05: The Store,maybe,13
05: The Store,mind,7
05: The Store,monday,6
05: The Store,month,9
05: The Store,months,7
05: The Store,morning,14
05: The Store,mother,42
05: The Store,much,10
05: The Store,na,7
05: The Store,name,7
05: The Store,neighborhood,10
05: The Store,never,19
05: The Store,new,12
05: The Store,next,15
05: The Store,night,28
05: The Store,nothing,7
05: The Store,o,11
05: The Store,old,15
05: The Store,one,48
05: The Store,open,6
05: The Store,parents,6
05: The Store,past,7
05: The Store,patricia,8
05: The Store,pay,8
05: The Store,penny,57
05: The Store,people,21
05: The Store,perhaps,6
05: The Store,picture,8
05: The Store,pictures,6
05: The Store,place,21
05: The Store,put,10
05: The Store,read,6
05: The Store,right,8
05: The Store,room,9
05: The Store,said,79
05: The Store,saw,9
05: The Store,say,16
05: The Store,saying,6
05: The Store,second,7
05: The Store,see,24
05: The Store,seemed,11
05: The Store,set,6
05: The Store,shit,8
05: The Store,sitting,6
05: The Store,someone,7
05: The Store,something,18
05: The Store,started,7
05: The Store,still,16
05: The Store,stood,13
05: The Store,store,51
05: The Store,street,30
05: The Store,stuff,8
05: The Store,take,12
05: The Store,tell,22
05: The Store,thing,8
05: The Store,things,12
05: The Store,think,15
05: The Store,though,8
05: The Store,three,11
05: The Store,time,42
05: The Store,times,8
05: The Store,told,18
05: The Store,tommy,8
05: The Store,took,20
05: The Store,trying,8
05: The Store,turner,8
05: The Store,two,20
05: The Store,undertaker,7
05: The Store,us,12
05: The Store,usually,6
05: The Store,waited,6
05: The Store,waiting,6
05: The Store,walked,6
05: The Store,want,13
05: The Store,wanted,19
05: The Store,washington,6
05: The Store,way,21
05: The Store,week,24
05: The Store,weeks,8
05: The Store,went,28
05: The Store,white,14
05: The Store,whole,6
05: The Store,window,9
05: The Store,woman,11
05: The Store,work,25
05: The Store,working,6
05: The Store,world,19
05: The Store,would,79
05: The Store,yard,10
05: The Store,year,6
05: The Store,years,14
05: The Store,york,6
06: An Orange Line Train to Ballston,across,9
06: An Orange Line Train to Ballston,around,12
06: An Orange Line Train to Ballston,asked,12
06: An Orange Line Train to Ballston,avis,26
06: An Orange Line Train to Ballston,back,9
06: An Orange Line Train to Ballston,ballston,6
06: An Orange Line Train to Ballston,began,7
06: An Orange Line Train to Ballston,blue,6
06: An Orange Line Train to Ballston,boy,8
06: An Orange Line Train to Ballston,children,11
06: An Orange Line Train to Ballston,day,9
06: An Orange Line Train to Ballston,dreadlock,8
06: An Orange Line Train to Ballston,dreadlocks,11
06: An Orange Line Train to Ballston,first,7
06: An Orange Line Train to Ballston,good,9
06: An Orange Line Train to Ballston,got,9
06: An Orange Line Train to Ballston,hair,11
06: An Orange Line Train to Ballston,know,7
06: An Orange Line Train to Ballston,lights,8
06: An Orange Line Train to Ballston,like,17
06: An Orange Line Train to Ballston,line,18
06: An Orange Line Train to Ballston,long,6
06: An Orange Line Train to Ballston,look,7
06: An Orange Line Train to Ballston,looked,6
06: An Orange Line Train to Ballston,mama,11
06: An Orange Line Train to Ballston,man,63
06: An Orange Line Train to Ballston,marcus,38
06: An Orange Line Train to Ballston,marvella,23
06: An Orange Line Train to Ballston,marvin,24
06: An Orange Line Train to Ballston,mother,17
06: An Orange Line Train to Ballston,one,12
06: An Orange Line Train to Ballston,orange,11
06: An Orange Line Train to Ballston,people,10
06: An Orange Line Train to Ballston,said,64
06: An Orange Line Train to Ballston,saw,10
06: An Orange Line Train to Ballston,school,7
06: An Orange Line Train to Ballston,see,9
06: An Orange Line Train to Ballston,something,6
06: An Orange Line Train to Ballston,square,6
06: An Orange Line Train to Ballston,stop,11
06: An Orange Line Train to Ballston,stopped,6
06: An Orange Line Train to Ballston,street,8
06: An Orange Line Train to Ballston,subway,15
06: An Orange Line Train to Ballston,thought,10
06: An Orange Line Train to Ballston,time,11
06: An Orange Line Train to Ballston,took,7
06: An Orange Line Train to Ballston,train,25
06: An Orange Line Train to Ballston,turn,7
06: An Orange Line Train to Ballston,turned,6
06: An Orange Line Train to Ballston,way,11
06: An Orange Line Train to Ballston,went,9
06: An Orange Line Train to Ballston,work,6
06: An Orange Line Train to Ballston,would,14
07: The Sunday Following Mother's Day,agnes,9
07: The Sunday Following Mother's Day,ai,10
07: The Sunday Following Mother's Day,anyone,6
07: The Sunday Following Mother's Day,anything,10
07: The Sunday Following Mother's Day,apartment,13
07: The Sunday Following Mother's Day,arnisa,13
07: The Sunday Following Mother's Day,around,11
07: The Sunday Following Mother's Day,asked,8
07: The Sunday Following Mother's Day,aunt,10
07: The Sunday Following Mother's Day,away,10
07: The Sunday Following Mother's Day,baby,10
07: The Sunday Following Mother's Day,back,33
07: The Sunday Following Mother's Day,began,14
07: The Sunday Following Mother's Day,blood,6
07: The Sunday Following Mother's Day,boy,11
07: The Sunday Following Mother's Day,brother,12
07: The Sunday Following Mother's Day,brought,8
07: The Sunday Following Mother's Day,building,6
07: The Sunday Following Mother's Day,called,8
07: The Sunday Following Mother's Day,car,25
07: The Sunday Following Mother's Day,center,8
07: The Sunday Following Mother's Day,child,13
07: The Sunday Following Mother's Day,children,26
07: The Sunday Following Mother's Day,come,17
07: The Sunday Following Mother's Day,could,33
07: The Sunday Following Mother's Day,curtis,16
07: The Sunday Following Mother's Day,day,35
07: The Sunday Following Mother's Day,days,6
07: The Sunday Following Mother's Day,done,7
07: The Sunday Following Mother's Day,door,15
07: The Sunday Following Mother's Day,eat,6
07: The Sunday Following Mother's Day,enough,7
07: The Sunday Following Mother's Day,even,12
07: The Sunday Following Mother's Day,ever,11
07: The Sunday Following Mother's Day,every,7
07: The Sunday Following Mother's Day,family,8
07: The Sunday Following Mother's Day,far,6
07: The Sunday Following Mother's Day,father,22
07: The Sunday Following Mother's Day,find,9
07: The Sunday Following Mother's Day,first,10
07: The Sunday Following Mother's Day,floor,7
07: The Sunday Following Mother's Day,found,16
07: The Sunday Following Mother's Day,front,8
07: The Sunday Following Mother's Day,gave,7
07: The Sunday Following Mother's Day,get,22
07: The Sunday Following Mother's Day,girl,11
07: The Sunday Following Mother's Day,give,9
07: The Sunday Following Mother's Day,go,17
07: The Sunday Following Mother's Day,going,6
07: The Sunday Following Mother's Day,good,9
07: The Sunday Following Mother's Day,got,8
07: The Sunday Following Mother's Day,hand,10
07: The Sunday Following Mother's Day,hazel,10
07: The Sunday Following Mother's Day,head,6
07: The Sunday Following Mother's Day,hear,8
07: The Sunday Following Mother's Day,home,6
07: The Sunday Following Mother's Day,house,6
07: The Sunday Following Mother's Day,kept,7
07: The Sunday Following Mother's Day,killed,6
07: The Sunday Following Mother's Day,knew,10
07: The Sunday Following Mother's Day,know,12
07: The Sunday Following Mother's Day,lap,8
07: The Sunday Following Mother's Day,later,6
07: The Sunday Following Mother's Day,least,6
07: The Sunday Following Mother's Day,left,8
07: The Sunday Following Mother's Day,life,8
07: The Sunday Following Mother's Day,like,23
07: The Sunday Following Mother's Day,long,11
07: The Sunday Following Mother's Day,look,7
07: The Sunday Following Mother's Day,looked,7
07: The Sunday Following Mother's Day,looking,6
07: The Sunday Following Mother's Day,lorton,9
07: The Sunday Following Mother's Day,maddie,62
07: The Sunday Following Mother's Day,made,9
07: The Sunday Following Mother's Day,madeleine,74
07: The Sunday Following Mother's Day,man,32
07: The Sunday Following Mother's Day,men,6
07: The Sunday Following Mother's Day,morning,8
07: The Sunday Following Mother's Day,mother,23
07: The Sunday Following Mother's Day,much,8
07: The Sunday Following Mother's Day,never,19
07: The Sunday Following Mother's Day,new,9
